l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.021668195724487305,1,0.0
1,2,1,0.02701282501220703,1,0.0011930465698242188
1,3,1,0.0167694091796875,1,0.017095088958740234
1,4,1,0.0,1,0.015978574752807617
1,5,1,0.024500608444213867,1,0.025736331939697266
1,6,1,0.0,1,0.033454179763793945
1,7,1,0.0,1,0.03833413124084473
1,8,1,0.0,1,0.028151988983154297
1,9,1,0.0,1,0.054778337478637695
1,10,1,0.0007672309875488281,1,0.04392552375793457
2,1,1,0.02346324920654297,1,0.0
2,2,1,0.009986162185668945,1,0.01601266860961914
2,3,1,0.01875901222229004,1,0.004995822906494141
2,4,1,0.01036691665649414,1,0.0
2,5,1,0.020302295684814453,1,0.003002643585205078
2,6,1,0.009231805801391602,1,0.0
2,7,1,0.0,1,0.01670694351196289
2,8,1,0.0,1,0.0
2,9,1,0.001678466796875,1,0.0
2,10,1,0.0,1,0.02356410026550293
3,1,1,0.029398679733276367,1,0.005311727523803711
3,2,1,0.016607999801635742,1,0.0
3,3,1,0.01667332649230957,1,0.0
3,4,1,0.025226116180419922,1,0.0020008087158203125
3,5,1,0.0044286251068115234,1,0.0
3,6,1,0.01912713050842285,1,0.0033211708068847656
3,7,1,0.0,1,0.010942459106445312
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.01600050926208496,1,0.0004897117614746094
4,1,1,0.016633272171020508,1,0.0
4,2,1,0.026853322982788086,1,0.001998424530029297
4,3,1,0.0047261714935302734,1,0.0
4,4,1,0.016462087631225586,1,0.0
4,5,1,0.02492356300354004,1,0.008486270904541016
4,6,1,0.006512165069580078,1,0.0
4,7,1,0.010452985763549805,1,0.0
4,8,1,0.0,1,0.01719832420349121
4,9,1,0.003393888473510742,1,0.0030095577239990234
4,10,1,0.0020055770874023438,1,0.0029900074005126953
5,1,1,0.04903864860534668,1,0.005992889404296875
5,2,1,0.01624011993408203,1,0.0
5,3,1,0.03355717658996582,1,0.0
5,4,1,0.01633310317993164,1,0.0
5,5,1,0.016783475875854492,1,0.0
5,6,1,0.018435239791870117,1,0.004998207092285156
5,7,1,0.009824514389038086,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.015012741088867188,1,0.002289295196533203
5,10,1,0.000997781753540039,1,0.0029993057250976562
6,1,1,0.010860204696655273,1,0.012509822845458984
6,2,1,0.021000385284423828,1,0.0
6,3,1,0.020015716552734375,1,0.002001047134399414
6,4,1,0.011567115783691406,1,0.0
6,5,1,0.018152713775634766,1,0.003000497817993164
6,6,1,0.007998228073120117,1,0.0020003318786621094
6,7,1,0.002053499221801758,1,0.0
6,8,1,0.0,1,0.01580643653869629
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.03215956687927246,1,0.0012373924255371094
7,2,1,0.020035982131958008,1,0.002071857452392578
7,3,1,0.01700592041015625,1,0.0019991397857666016
7,4,1,0.008844375610351562,1,0.0
7,5,1,0.01654648780822754,1,0.0
7,6,1,0.0,1,0.01562786102294922
7,7,1,0.0012006759643554688,1,0.0
7,8,1,0.012514352798461914,1,0.0
7,9,1,0.0041656494140625,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.04125618934631348,1,0.003998994827270508
8,2,1,0.004725217819213867,1,0.014013290405273438
8,3,1,0.0027425289154052734,1,0.015484333038330078
8,4,1,0.0,1,0.016175508499145508
8,5,1,0.0,1,0.0
8,6,1,0.01659369468688965,1,0.0
8,7,1,0.0,1,0.017100095748901367
8,8,1,0.005999088287353516,1,0.0011518001556396484
8,9,1,0.0,1,0.0
8,10,1,0.00069427490234375,1,0.0
9,1,1,0.01646113395690918,1,0.0
9,2,1,0.016844511032104492,1,0.0
9,3,1,0.016794681549072266,1,0.0
9,4,1,0.01656651496887207,1,0.0
9,5,1,0.02423262596130371,1,0.0
9,6,1,0.009099483489990234,1,0.0
9,7,1,0.0,1,0.016573190689086914
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0017380714416503906,1,0.0
10,1,1,0.016640901565551758,1,0.0
10,2,1,0.016640663146972656,1,0.0
10,3,1,0.02163410186767578,1,0.0
10,4,1,0.0005145072937011719,1,0.0
10,5,1,0.01667642593383789,1,0.016614675521850586
10,6,1,0.0,1,0.0
10,7,1,0.017028331756591797,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0162966251373291
10,10,1,0.0,1,0.0
