l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016332387924194336
1,2,1,0.005057096481323242,1,0.00599217414855957
1,3,1,0.0029985904693603516,1,0.002020120620727539
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.01656174659729004
1,6,1,0.0,1,0.016864776611328125
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.024416685104370117
1,9,1,0.0,1,0.008658409118652344
1,10,1,0.0,1,0.019412994384765625
2,1,1,0.00600433349609375,1,0.0019958019256591797
2,2,1,0.005013227462768555,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.01501011848449707
2,6,1,0.0,1,0.001493215560913086
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.01671123504638672,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0016872882843017578,1,0.0009837150573730469
3,6,1,0.0,1,0.0009987354278564453
3,7,1,0.0,1,0.0010006427764892578
3,8,1,0.0,1,0.0007920265197753906
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.010363578796386719,1,0.0034055709838867188
4,2,1,0.0013589859008789062,1,0.0
4,3,1,0.0,1,0.011584043502807617
4,4,1,0.003000020980834961,1,0.003978252410888672
4,5,1,0.0009856224060058594,1,0.0020008087158203125
4,6,1,0.0,1,0.0009984970092773438
4,7,1,0.0,1,0.0010004043579101562
4,8,1,0.0,1,0.0020003318786621094
4,9,1,0.0,1,0.0010209083557128906
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.016789913177490234,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.01697230339050293,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.016306161880493164,1,0.0070116519927978516
6,2,1,0.0,1,0.0
6,3,1,0.012063980102539062,1,0.0010068416595458984
6,4,1,0.001003265380859375,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.00033164024353027344
6,10,1,0.0,1,0.0009992122650146484
7,1,1,0.00600123405456543,1,0.0009999275207519531
7,2,1,0.0039997100830078125,1,0.0019996166229248047
7,3,1,0.001829385757446289,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.015010595321655273
7,9,1,0.0,1,0.001752614974975586
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.016780376434326172,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.01501011848449707
8,6,1,0.0,1,0.0015397071838378906
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.017149925231933594,1,0.0020041465759277344
9,2,1,0.0029811859130859375,1,0.0
9,3,1,0.01522970199584961,1,0.003001689910888672
9,4,1,0.003998756408691406,1,0.0010001659393310547
9,5,1,0.0010013580322265625,1,0.0019979476928710938
9,6,1,0.0,1,0.002261638641357422
9,7,1,0.0,1,0.0017361640930175781
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.014189720153808594,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.017114639282226562,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.015771150588989258
10,10,1,0.0,1,0.0
