l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016832351684570312,1,0.01630377769470215
1,2,1,0.015939950942993164,1,0.0
1,3,1,0.01694202423095703,1,0.0
1,4,1,0.0,1,0.023431777954101562
1,5,1,0.00599980354309082,1,0.007828712463378906
1,6,1,0.011216163635253906,1,0.01672649383544922
1,7,1,0.0,1,0.016788482666015625
1,8,1,0.0,1,0.021997928619384766
1,9,1,0.0,1,0.025941848754882812
1,10,1,0.002643108367919922,1,0.014966011047363281
2,1,1,0.016590118408203125,1,0.0
2,2,1,0.016826629638671875,1,0.0
2,3,1,0.016686439514160156,1,0.0
2,4,1,0.019724130630493164,1,0.002998828887939453
2,5,1,0.008001327514648438,1,0.0026803016662597656
2,6,1,0.0,1,0.0
2,7,1,0.01786065101623535,1,0.003844022750854492
2,8,1,0.0,1,0.011363029479980469
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.016771316528320312
3,1,1,0.016715526580810547,1,0.0
3,2,1,0.01732921600341797,1,0.002997875213623047
3,3,1,0.0100250244140625,1,0.0028731822967529297
3,4,1,0.0,1,0.0
3,5,1,0.022160768508911133,1,0.001940011978149414
3,6,1,0.0,1,0.009278297424316406
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.01652073860168457
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.016810894012451172,1,0.016011714935302734
4,2,1,0.011037111282348633,1,0.002998828887939453
4,3,1,0.007393836975097656,1,0.0
4,4,1,0.018673181533813477,1,0.002998828887939453
4,5,1,0.012676477432250977,1,0.002612590789794922
4,6,1,0.0,1,0.008672714233398438
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.016500234603881836
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.025477886199951172,1,0.002988100051879883
5,2,1,0.0050048828125,1,0.0
5,3,1,0.016992807388305664,1,0.0
5,4,1,0.017718791961669922,1,0.0029981136322021484
5,5,1,0.011708736419677734,1,0.0010898113250732422
5,6,1,0.006527423858642578,1,0.008966922760009766
5,7,1,0.0008320808410644531,1,0.0
5,8,1,0.0,1,0.01604914665222168
5,9,1,0.0030448436737060547,1,0.0030214786529541016
5,10,1,0.0019893646240234375,1,0.001990795135498047
6,1,1,0.006064653396606445,1,0.0
6,2,1,0.016587018966674805,1,0.0
6,3,1,0.01666855812072754,1,0.0
6,4,1,0.019135475158691406,1,0.0027451515197753906
6,5,1,0.0,1,0.011375904083251953
6,6,1,0.0,1,0.0
6,7,1,0.016134977340698242,1,0.002279520034790039
6,8,1,0.005002498626708984,1,0.002999544143676758
6,9,1,0.003000974655151367,1,0.0030303001403808594
6,10,1,0.0,1,0.0
7,1,1,0.01649928092956543,1,0.0
7,2,1,0.01671743392944336,1,0.0
7,3,1,0.018202543258666992,1,0.0029964447021484375
7,4,1,0.012207746505737305,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.02140045166015625,1,0.0029997825622558594
7,7,1,0.004999399185180664,1,0.0033342838287353516
7,8,1,0.0004928112030029297,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.015012741088867188,1,0.001764059066772461
8,1,1,0.01607799530029297,1,0.0005300045013427734
8,2,1,0.013511419296264648,1,0.0032491683959960938
8,3,1,0.0,1,0.0
8,4,1,0.0230562686920166,1,0.0010006427764892578
8,5,1,0.013391971588134766,1,0.002996206283569336
8,6,1,0.006001949310302734,1,0.0019991397857666016
8,7,1,0.0006487369537353516,1,0.0
8,8,1,0.0,1,0.016309022903442383
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.016778230667114258,1,0.0
9,2,1,0.017023324966430664,1,0.0
9,3,1,0.01888298988342285,1,0.003026723861694336
9,4,1,0.0,1,0.012963533401489258
9,5,1,0.005999565124511719,1,0.003000020980834961
9,6,1,0.006188154220581055,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.016345739364624023,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.01670694351196289,1,0.0
10,2,1,0.016751527786254883,1,0.0
10,3,1,0.022091150283813477,1,0.0
10,4,1,0.016522884368896484,1,0.00017690658569335938
10,5,1,0.010051488876342773,1,0.0
10,6,1,0.0,1,0.017020463943481445
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.016295909881591797
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
