l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01681351661682129,1,0.0
1,2,1,0.016820192337036133,1,0.015007734298706055
1,3,1,0.0015196800231933594,1,0.016533374786376953
1,4,1,0.0,1,0.01961231231689453
1,5,1,0.007000446319580078,1,0.007294893264770508
1,6,1,0.005561113357543945,1,0.008637666702270508
1,7,1,0.0,1,0.016822338104248047
1,8,1,0.0,1,0.01662755012512207
1,9,1,0.0,1,0.016534805297851562
1,10,1,0.0,1,0.018344640731811523
2,1,1,0.012984275817871094,1,0.005461454391479492
2,2,1,0.01865553855895996,1,0.00399470329284668
2,3,1,0.006232261657714844,1,0.0
2,4,1,0.016817331314086914,1,0.0
2,5,1,0.016484737396240234,1,0.0
2,6,1,0.0184171199798584,1,0.004000186920166016
2,7,1,0.006999015808105469,1,0.003372669219970703
2,8,1,0.0008227825164794922,1,0.0
2,9,1,0.0,1,0.015775680541992188
2,10,1,0.005007028579711914,1,0.0008823871612548828
3,1,1,0.011474370956420898,1,0.0
3,2,1,0.016581296920776367,1,0.0
3,3,1,0.007531881332397461,1,0.00927114486694336
3,4,1,0.0,1,0.0
3,5,1,0.02648138999938965,1,0.0029916763305664062
3,6,1,0.004566669464111328,1,0.0
3,7,1,0.020430564880371094,1,0.004560708999633789
3,8,1,0.007580995559692383,1,0.0
3,9,1,0.0,1,0.01704692840576172
3,10,1,0.0,1,0.0
4,1,1,0.016414880752563477,1,0.016242027282714844
4,2,1,0.017079830169677734,1,0.0
4,3,1,0.021937131881713867,1,0.0
4,4,1,0.01125955581665039,1,0.0
4,5,1,0.023282527923583984,1,0.004012346267700195
4,6,1,0.005886554718017578,1,0.0
4,7,1,0.01646256446838379,1,0.00404667854309082
4,8,1,0.006000995635986328,1,0.0029990673065185547
4,9,1,0.004024505615234375,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.017018795013427734,1,0.0
5,2,1,0.021796703338623047,1,0.008524656295776367
5,3,1,0.0026504993438720703,1,0.0
5,4,1,0.0168914794921875,1,0.0
5,5,1,0.021691322326660156,1,0.004000425338745117
5,6,1,0.007384777069091797,1,0.0
5,7,1,0.0,1,0.015012025833129883
5,8,1,0.0016574859619140625,1,0.0
5,9,1,0.0,1,0.016997098922729492
5,10,1,0.005796670913696289,1,0.0
6,1,1,0.009558439254760742,1,0.0
6,2,1,0.016776084899902344,1,0.0
6,3,1,0.02529144287109375,1,0.003000497817993164
6,4,1,0.0048406124114990234,1,0.0
6,5,1,0.016666412353515625,1,0.0
6,6,1,0.016634464263916016,1,0.0
6,7,1,0.014511823654174805,1,0.0056073665618896484
6,8,1,0.004105329513549805,1,0.009081363677978516
6,9,1,0.006008148193359375,1,0.0
6,10,1,0.0,1,0.01244044303894043
7,1,1,0.014868974685668945,1,0.0
7,2,1,0.016931772232055664,1,0.0
7,3,1,0.016721010208129883,1,0.0
7,4,1,0.0,1,0.016921281814575195
7,5,1,0.014641046524047852,1,0.004241466522216797
7,6,1,0.01576828956604004,1,0.0030019283294677734
7,7,1,0.00799870491027832,1,0.0028808116912841797
7,8,1,0.0,1,0.0
7,9,1,0.015010595321655273,1,0.0015573501586914062
7,10,1,0.0,1,0.0
8,1,1,0.016774892807006836,1,0.0
8,2,1,0.023266315460205078,1,0.0046215057373046875
8,3,1,0.014668703079223633,1,0.004000186920166016
8,4,1,0.004766941070556641,1,0.0
8,5,1,0.01633906364440918,1,0.0
8,6,1,0.016203641891479492,1,0.0021114349365234375
8,7,1,0.0,1,0.0
8,8,1,0.01516866683959961,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.02213573455810547,1,0.0028274059295654297
9,1,1,0.014192819595336914,1,0.0030002593994140625
9,2,1,0.007939577102661133,1,0.0
9,3,1,0.016546249389648438,1,0.0
9,4,1,0.0167086124420166,1,0.0
9,5,1,0.016762256622314453,1,0.0
9,6,1,0.01663374900817871,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.010140419006347656,1,0.0
9,9,1,0.007459878921508789,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.016797542572021484,1,0.0
10,2,1,0.016473054885864258,1,0.0
10,3,1,0.016575336456298828,1,0.0
10,4,1,0.008011817932128906,1,0.008845806121826172
10,5,1,0.0,1,0.0
10,6,1,0.022372007369995117,1,0.0021495819091796875
10,7,1,0.008814573287963867,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.016745805740356445,1,0.0
10,10,1,0.0,1,0.0
