l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.015430927276611328
1,2,1,0.008135318756103516,1,0.0
1,3,1,0.0,1,0.012038230895996094
1,4,1,0.0019986629486083984,1,0.007987022399902344
1,5,1,0.0010025501251220703,1,0.0028831958770751953
1,6,1,0.0,1,0.01668548583984375
1,7,1,0.0,1,0.016413211822509766
1,8,1,0.0,1,0.017050743103027344
1,9,1,0.0,1,0.017798662185668945
1,10,1,0.0,1,0.003647327423095703
2,1,1,0.01744556427001953,1,0.0019867420196533203
2,2,1,0.005000114440917969,1,0.001999378204345703
2,3,1,0.0018725395202636719,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.015010595321655273
2,8,1,0.0,1,0.0017266273498535156
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0166015625,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.016709089279174805,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.016722679138183594,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.015012741088867188,1,0.0030345916748046875
4,4,1,0.004429340362548828,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.010158538818359375
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.021708011627197266,1,0.0005512237548828125
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.011677742004394531,1,0.0020258426666259766
5,6,1,0.0,1,0.0018765926361083984
5,7,1,0.0,1,0.003042936325073242
5,8,1,0.0,1,0.0019991397857666016
5,9,1,0.0,1,0.0009996891021728516
5,10,1,0.0,1,0.0009996891021728516
6,1,1,0.003918886184692383,1,0.0
6,2,1,0.016820669174194336,1,0.0
6,3,1,0.0,1,0.006510019302368164
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.009009361267089844
6,8,1,0.0,1,0.0015490055084228516
6,9,1,0.0,1,0.0010001659393310547
6,10,1,0.0,1,0.0019979476928710938
7,1,1,0.0017311573028564453,1,0.0
7,2,1,0.011484622955322266,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.016157865524291992,1,0.0017859935760498047
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.015738964080810547,1,0.0
8,2,1,0.0,1,0.016605854034423828
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.015067100524902344,1,0.0014145374298095703
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.015667438507080078
9,2,1,0.007637500762939453,1,0.0029993057250976562
9,3,1,0.008492708206176758,1,0.001967906951904297
9,4,1,0.0014646053314208984,1,0.0
9,5,1,0.0,1,0.010701656341552734
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.016561508178710938,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0011382102966308594,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
