l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.01650691032409668,1,0.0
1,2,1,0.017038822174072266,1,0.0
1,3,1,0.020024538040161133,1,0.00699925422668457
1,4,1,0.006474733352661133,1,0.0075681209564208984
1,5,1,0.008772850036621094,1,0.016472339630126953
1,6,1,0.0,1,0.016606569290161133
1,7,1,0.0,1,0.01682567596435547
1,8,1,0.0,1,0.03329944610595703
1,9,1,0.0,1,0.01905512809753418
1,10,1,0.0,1,0.013115882873535156
2,1,1,0.01672840118408203,1,0.0
2,2,1,0.008518695831298828,1,0.00757145881652832
2,3,1,0.0005388259887695312,1,0.0
2,4,1,0.0,1,0.017628192901611328
2,5,1,0.005003690719604492,1,0.0019965171813964844
2,6,1,0.0030002593994140625,1,0.0019991397857666016
2,7,1,0.0022172927856445312,1,0.0006549358367919922
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0220947265625,1,0.0
3,2,1,0.011125802993774414,1,0.0
3,3,1,0.01945638656616211,1,0.0024042129516601562
3,4,1,0.0,1,0.0
3,5,1,0.011955976486206055,1,0.0019974708557128906
3,6,1,0.005534172058105469,1,0.002003192901611328
3,7,1,0.002003908157348633,1,0.0009932518005371094
3,8,1,0.0,1,0.0010001659393310547
3,9,1,0.0,1,0.002443075180053711
3,10,1,0.0,1,0.0019981861114501953
4,1,1,0.0141143798828125,1,0.0
4,2,1,0.016499996185302734,1,0.0064852237701416016
4,3,1,0.0,1,0.010514497756958008
4,4,1,0.0048084259033203125,1,0.0
4,5,1,0.0,1,0.010883569717407227
4,6,1,0.0005235671997070312,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.03339886665344238,1,0.004011392593383789
5,2,1,0.012908935546875,1,0.0
5,3,1,0.016751527786254883,1,0.0
5,4,1,0.0,1,0.016805410385131836
5,5,1,0.005005836486816406,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.01147603988647461
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.019865751266479492,1,0.0014994144439697266
6,2,1,0.015226125717163086,1,0.0029993057250976562
6,3,1,0.009084939956665039,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.016576051712036133,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.017281532287597656
7,1,1,0.016152143478393555,1,0.0
7,2,1,0.0,1,0.016112804412841797
7,3,1,0.0,1,0.0
7,4,1,0.020335912704467773,1,0.0020012855529785156
7,5,1,0.005002021789550781,1,0.0019989013671875
7,6,1,0.004132747650146484,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.016376256942749023,1,0.0
8,2,1,0.016823768615722656,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.021085739135742188,1,0.003621339797973633
8,5,1,0.0,1,0.008613824844360352
8,6,1,0.0,1,0.0
8,7,1,0.006531238555908203,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.017933368682861328,1,0.002000093460083008
9,2,1,0.006775856018066406,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.01834845542907715,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.014908790588378906,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.017179489135742188
9,10,1,0.0,1,0.0019998550415039062
10,1,1,0.01320791244506836,1,0.0
10,2,1,0.02030205726623535,1,0.002000570297241211
10,3,1,0.00901174545288086,1,0.000911712646484375
10,4,1,0.0,1,0.0
10,5,1,0.016596317291259766,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.01631307601928711
