l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016371965408325195,1,0.0
1,2,1,0.01654791831970215,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.03273463249206543
1,5,1,0.0030519962310791016,1,0.02202463150024414
1,6,1,0.0019979476928710938,1,0.006757259368896484
1,7,1,0.0,1,0.017113685607910156
1,8,1,0.0,1,0.03297257423400879
1,9,1,0.0,1,0.023061275482177734
1,10,1,0.0,1,0.026841163635253906
2,1,1,0.016776561737060547,1,0.0
2,2,1,0.016739368438720703,1,0.0
2,3,1,0.0,1,0.015024185180664062
2,4,1,0.0015246868133544922,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0012352466583251953
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.018971681594848633,1,0.003000020980834961
3,2,1,0.013002872467041016,1,0.0019998550415039062
3,3,1,0.012767791748046875,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.017044782638549805,1,0.0
3,6,1,0.01273345947265625,1,0.002281665802001953
3,7,1,0.0,1,0.0024220943450927734
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.03690147399902344,1,0.0023834705352783203
4,2,1,0.009073972702026367,1,0.016183137893676758
4,3,1,0.0,1,0.014351367950439453
4,4,1,0.008022546768188477,1,0.0020003318786621094
4,5,1,0.0072972774505615234,1,0.002001523971557617
4,6,1,0.002167940139770508,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.011850833892822266,1,0.0
5,2,1,0.03086066246032715,1,0.002508878707885742
5,3,1,0.0048065185546875,1,0.0
5,4,1,0.011322975158691406,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.015638113021850586,1,0.0013461112976074219
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.016582489013671875,1,0.0
6,2,1,0.01668405532836914,1,0.017479419708251953
6,3,1,0.013006925582885742,1,0.003067493438720703
6,4,1,0.007345438003540039,1,0.0
6,5,1,0.009177446365356445,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.01501321792602539
6,10,1,0.0,1,0.001386404037475586
7,1,1,0.018485069274902344,1,0.0
7,2,1,0.015136003494262695,1,0.006510496139526367
7,3,1,0.010691404342651367,1,0.0019991397857666016
7,4,1,0.006002187728881836,1,0.0019974708557128906
7,5,1,0.004002571105957031,1,0.00200653076171875
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.022611141204833984,1,0.010594844818115234
8,2,1,0.0,1,0.0
8,3,1,0.016631364822387695,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.01676774024963379,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.014509439468383789
9,1,1,0.014916658401489258,1,0.0019927024841308594
9,2,1,0.0018568038940429688,1,0.0
9,3,1,0.021029949188232422,1,0.0009801387786865234
9,4,1,0.0,1,0.0
9,5,1,0.011259317398071289,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.016887664794921875,1,0.015162467956542969
10,2,1,0.0007107257843017578,1,0.0
10,3,1,0.021274089813232422,1,0.001001596450805664
10,4,1,0.004997730255126953,1,0.002001523971557617
10,5,1,0.003953695297241211,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
