l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.022368907928466797,1,0.0009989738464355469
1,2,1,0.0060002803802490234,1,0.002885580062866211
1,3,1,0.000514984130859375,1,0.015671730041503906
1,4,1,0.0,1,0.0
1,5,1,0.016094684600830078,1,0.009137868881225586
1,6,1,0.0,1,0.008024930953979492
1,7,1,0.0,1,0.01671767234802246
1,8,1,0.0,1,0.02982473373413086
1,9,1,0.0,1,0.002532482147216797
1,10,1,0.0,1,0.017121076583862305
2,1,1,0.016907930374145508,1,0.0
2,2,1,0.019389867782592773,1,0.002056121826171875
2,3,1,0.0040111541748046875,1,0.0
2,4,1,0.007267951965332031,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.024381160736083984,1,0.001999378204345703
3,2,1,0.006792306900024414,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0011284351348876953
3,7,1,0.0,1,0.00047898292541503906
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.01562786102294922
4,2,1,0.0006308555603027344,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.01801156997680664,1,0.001995086669921875
4,5,1,0.001999378204345703,1,0.0010004043579101562
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.009335517883300781
5,1,1,0.0,1,0.0
5,2,1,0.01938319206237793,1,0.0029985904693603516
5,3,1,0.0060122013092041016,1,0.0019905567169189453
5,4,1,0.005273103713989258,1,0.0019185543060302734
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.023276567459106445,1,0.0009970664978027344
6,2,1,0.004895210266113281,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.016732454299926758
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.022944211959838867,1,0.0
7,2,1,0.013944149017333984,1,0.002001047134399414
7,3,1,0.0039997100830078125,1,0.002000093460083008
7,4,1,0.002999544143676758,1,0.001954793930053711
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.01667642593383789,1,0.0
8,2,1,0.016654253005981445,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.016726970672607422,1,0.0010089874267578125
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.017960071563720703,1,0.002000570297241211
9,2,1,0.0007987022399902344,1,0.0
9,3,1,0.013336658477783203,1,0.0020020008087158203
9,4,1,0.0029981136322021484,1,0.0019998550415039062
9,5,1,0.0010001659393310547,1,0.0009996891021728516
9,6,1,0.0,1,0.0009996891021728516
9,7,1,0.0,1,0.0009999275207519531
9,8,1,0.0,1,0.0014772415161132812
9,9,1,0.0,1,0.0020024776458740234
9,10,1,0.0,1,0.0009996891021728516
10,1,1,0.013452291488647461,1,0.0020165443420410156
10,2,1,0.006990909576416016,1,0.0024080276489257812
10,3,1,0.005754947662353516,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.015505790710449219
10,10,1,0.0,1,0.0015027523040771484
