l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016642093658447266,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.016701936721801758,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.017067432403564453
1,6,1,0.0,1,0.016255855560302734
1,7,1,0.0,1,0.007025957107543945
1,8,1,0.0,1,0.015072107315063477
1,9,1,0.0,1,0.011205434799194336
1,10,1,0.0,1,0.0
2,1,1,0.020037412643432617,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.013390064239501953,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.016662120819091797,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.016748428344726562,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.019364595413208008,1,0.0010004043579101562
4,2,1,0.003999948501586914,1,0.001999378204345703
4,3,1,0.0020003318786621094,1,0.0019996166229248047
4,4,1,0.0022835731506347656,1,0.0010159015655517578
4,5,1,0.0010097026824951172,1,0.0019872188568115234
4,6,1,0.0,1,0.0015988349914550781
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.011077404022216797,1,0.00043654441833496094
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.016246318817138672,1,0.0005376338958740234
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.015509605407714844
6,2,1,0.0005102157592773438,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.015508651733398438,1,0.0011320114135742188
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.017493247985839844
7,2,1,0.004996299743652344,1,0.0009992122650146484
7,3,1,0.00299835205078125,1,0.0019996166229248047
7,4,1,0.0020008087158203125,1,0.0009999275207519531
7,5,1,0.0013382434844970703,1,0.002001047134399414
7,6,1,0.0,1,0.0020236968994140625
7,7,1,0.0,1,0.0019872188568115234
7,8,1,0.0,1,0.00147247314453125
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.009673833847045898,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.01681232452392578,1,0.003992795944213867
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.011556386947631836
8,10,1,0.0,1,0.0006847381591796875
9,1,1,0.005582571029663086,1,0.0
9,2,1,0.0,1,0.010409116744995117
9,3,1,0.005051851272583008,1,0.0036554336547851562
9,4,1,0.001984119415283203,1,0.0020165443420410156
9,5,1,0.0009856224060058594,1,0.001007080078125
9,6,1,0.0,1,0.0010216236114501953
9,7,1,0.0,1,0.00043511390686035156
9,8,1,0.0,1,0.0009999275207519531
9,9,1,0.0,1,0.0010073184967041016
9,10,1,0.0,1,0.0010104179382324219
10,1,1,0.005991458892822266,1,0.0010042190551757812
10,2,1,0.003998756408691406,1,0.001966238021850586
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.015057802200317383
10,9,1,0.0,1,0.0010471343994140625
10,10,1,0.0,1,0.0010135173797607422
