l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.015083789825439453
1,2,1,0.007977962493896484,1,0.0009992122650146484
1,3,1,0.0025703907012939453,1,0.006598472595214844
1,4,1,0.0,1,0.02250957489013672
1,5,1,0.0020046234130859375,1,0.008964300155639648
1,6,1,0.0,1,0.015935420989990234
1,7,1,0.0,1,0.01642441749572754
1,8,1,0.0,1,0.016505956649780273
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.016724348068237305
2,1,1,0.022357463836669922,1,0.00099945068359375
2,2,1,0.006046772003173828,1,0.001008749008178711
2,3,1,0.0030395984649658203,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.01645803451538086
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.006103992462158203,1,0.0
3,2,1,0.0117950439453125,1,0.0
3,3,1,0.0,1,0.0015988349914550781
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.015100240707397461
4,1,1,0.01587367057800293,1,0.0024399757385253906
4,2,1,0.01253509521484375,1,0.004550933837890625
4,3,1,0.011429071426391602,1,0.002002239227294922
4,4,1,0.004242658615112305,1,0.0020036697387695312
4,5,1,0.0016617774963378906,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.01199793815612793,1,0.0
5,2,1,0.014724969863891602,1,0.0020394325256347656
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.014622926712036133
5,8,1,0.0,1,0.0010805130004882812
5,9,1,0.0,1,0.0010058879852294922
5,10,1,0.0,1,0.0010020732879638672
6,1,1,0.010011672973632812,1,0.000995635986328125
6,2,1,0.0028581619262695312,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.015010356903076172
6,5,1,0.0018155574798583984,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.01999044418334961,1,0.001999378204345703
7,2,1,0.00191497802734375,1,0.0
7,3,1,0.009773015975952148,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.01642918586730957
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.016096830368041992,1,0.0010807514190673828
8,2,1,0.0059986114501953125,1,0.0010013580322265625
8,3,1,0.004000186920166016,1,0.0010006427764892578
8,4,1,0.0021293163299560547,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.014510154724121094
9,1,1,0.018807172775268555,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.01758599281311035,1,0.001010894775390625
9,4,1,0.0030906200408935547,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.010339498519897461
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.007512807846069336,1,0.0
10,2,1,0.014056205749511719,1,0.001001596450805664
10,3,1,0.004001617431640625,1,0.0010008811950683594
10,4,1,0.003406524658203125,1,0.0010008811950683594
10,5,1,0.0010001659393310547,1,0.0009996891021728516
10,6,1,0.0,1,0.028821706771850586
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
