l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.01674032211303711
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.01605844497680664
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.017100095748901367
1,7,1,0.0,1,0.004556894302368164
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.011635065078735352
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.01640009880065918,1,0.002041339874267578
2,3,1,0.002000093460083008,1,0.0020003318786621094
2,4,1,0.0019996166229248047,1,0.002000093460083008
2,5,1,0.0010001659393310547,1,0.0019996166229248047
2,6,1,0.0,1,0.0020003318786621094
2,7,1,0.0,1,0.0021233558654785156
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.016512155532836914,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.015507698059082031
3,5,1,0.0006172657012939453,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.015990495681762695
4,1,1,0.007005214691162109,1,0.001260519027709961
4,2,1,0.00843667984008789,1,0.0035660266876220703
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.01250910758972168
4,5,1,0.0019838809967041016,1,0.0019989013671875
4,6,1,0.0010004043579101562,1,0.00099945068359375
4,7,1,0.0,1,0.0009999275207519531
4,8,1,0.0,1,0.0020024776458740234
4,9,1,0.0,1,0.0019969940185546875
4,10,1,0.0,1,0.0019998550415039062
5,1,1,0.0040874481201171875,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.015006780624389648
5,4,1,0.0013194084167480469,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0166780948638916
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.016956329345703125
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.015850305557250977
7,1,1,0.008388996124267578,1,0.0
7,2,1,0.0,1,0.008303165435791016
7,3,1,0.0023970603942871094,1,0.0020003318786621094
7,4,1,0.002011537551879883,1,0.0009882450103759766
7,5,1,0.0019903182983398438,1,0.0020215511322021484
7,6,1,0.0,1,0.00197601318359375
7,7,1,0.0,1,0.0010142326354980469
7,8,1,0.0,1,0.0024199485778808594
7,9,1,0.0,1,0.0006060600280761719
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.016278505325317383,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.015009641647338867
8,7,1,0.0,1,0.0020194053649902344
8,8,1,0.0,1,0.0002779960632324219
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.01482248306274414,1,0.006011247634887695
9,3,1,0.004580497741699219,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0020096302032470703,1,0.0020017623901367188
9,6,1,0.0010035037994384766,1,0.002094745635986328
9,7,1,0.0,1,0.0019495487213134766
9,8,1,0.0,1,0.002004384994506836
9,9,1,0.0,1,0.00099945068359375
9,10,1,0.0,1,0.0009944438934326172
10,1,1,0.005903959274291992,1,0.0009999275207519531
10,2,1,0.0029997825622558594,1,0.0019991397857666016
10,3,1,0.002000093460083008,1,0.001999378204345703
10,4,1,0.00212860107421875,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.015753984451293945
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
