l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.015007257461547852
1,4,1,0.0,1,0.0013794898986816406
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.015622138977050781
2,3,1,0.0,1,0.0010156631469726562
2,4,1,0.0,1,0.0009903907775878906
2,5,1,0.0,1,0.001001596450805664
2,6,1,0.0,1,0.0019996166229248047
2,7,1,0.0,1,0.0019659996032714844
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.008058547973632812
3,3,1,0.0,1,0.001001119613647461
3,4,1,0.0,1,0.0010025501251220703
3,5,1,0.0,1,0.001003265380859375
3,6,1,0.0,1,0.0010001659393310547
3,7,1,0.0,1,0.00099945068359375
3,8,1,0.0,1,0.0019996166229248047
3,9,1,0.0,1,0.0009996891021728516
3,10,1,0.0,1,0.001001119613647461
4,1,1,0.0009989738464355469,1,0.0010001659393310547
4,2,1,0.0,1,0.0010063648223876953
4,3,1,0.0,1,0.0009930133819580078
4,4,1,0.0,1,0.0022530555725097656
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.015017986297607422
5,6,1,0.0,1,0.001497507095336914
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.01563239097595215
6,9,1,0.0,1,0.0010519027709960938
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.017016172409057617
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.015006303787231445
9,2,1,0.000782012939453125,1,0.0010068416595458984
9,3,1,0.0,1,0.0009982585906982422
9,4,1,0.0,1,0.0009996891021728516
9,5,1,0.0,1,0.0009999275207519531
9,6,1,0.0,1,0.0010006427764892578
9,7,1,0.0,1,0.0009999275207519531
9,8,1,0.0,1,0.0009996891021728516
9,9,1,0.0,1,0.0009999275207519531
9,10,1,0.0,1,0.0010004043579101562
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.006237506866455078
10,5,1,0.0,1,0.0010080337524414062
10,6,1,0.0,1,0.0009980201721191406
10,7,1,0.0,1,0.00099945068359375
10,8,1,0.0,1,0.00099945068359375
10,9,1,0.0,1,0.0009999275207519531
10,10,1,0.0,1,0.0010001659393310547
