l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016900062561035156,1,0.016370296478271484
1,2,1,0.018614768981933594,1,0.006998538970947266
1,3,1,0.008254051208496094,1,0.01772284507751465
1,4,1,0.014134645462036133,1,0.016659975051879883
1,5,1,0.016712427139282227,1,0.0334925651550293
1,6,1,0.024129390716552734,1,0.04227399826049805
1,7,1,0.022536516189575195,1,0.0467219352722168
1,8,1,0.025671005249023438,1,0.038431406021118164
1,9,1,0.016721725463867188,1,0.08372306823730469
1,10,1,0.016346454620361328,1,0.07550215721130371
2,1,1,0.007721662521362305,1,0.016727924346923828
2,2,1,0.016683101654052734,1,0.0
2,3,1,0.03331756591796875,1,0.008011341094970703
2,4,1,0.02353668212890625,1,0.0018467903137207031
2,5,1,0.03327035903930664,1,0.009507894515991211
2,6,1,0.007292747497558594,1,0.020020723342895508
2,7,1,0.019246816635131836,1,0.027420759201049805
2,8,1,0.016475915908813477,1,0.0610806941986084
2,9,1,0.004736423492431641,1,0.11847209930419922
2,10,1,0.014711380004882812,1,0.1333026885986328
3,1,1,0.02144336700439453,1,0.0070002079010009766
3,2,1,0.02177262306213379,1,0.0
3,3,1,0.016567230224609375,1,0.016484737396240234
3,4,1,0.016897201538085938,1,0.0
3,5,1,0.027448415756225586,1,0.00821828842163086
3,6,1,0.014153242111206055,1,0.0
3,7,1,0.03345823287963867,1,0.0
3,8,1,0.03322935104370117,1,0.007074594497680664
3,9,1,0.010039806365966797,1,0.021832704544067383
3,10,1,0.011176109313964844,1,0.020628929138183594
4,1,1,0.03714275360107422,1,0.009016752243041992
4,2,1,0.02302861213684082,1,0.010379552841186523
4,3,1,0.016402244567871094,1,0.01667046546936035
4,4,1,0.02340531349182129,1,0.007995367050170898
4,5,1,0.01852560043334961,1,0.018188953399658203
4,6,1,0.018277883529663086,1,0.0
4,7,1,0.030982494354248047,1,0.0070035457611083984
4,8,1,0.009053230285644531,1,0.016640901565551758
4,9,1,0.0265505313873291,1,0.012352705001831055
4,10,1,0.011285543441772461,1,0.021134376525878906
5,1,1,0.012073755264282227,1,0.0
5,2,1,0.03310799598693848,1,0.0
5,3,1,0.022286415100097656,1,0.011055469512939453
5,4,1,0.024631738662719727,1,0.006999969482421875
5,5,1,0.01845264434814453,1,0.0
5,6,1,0.016760587692260742,1,0.016576290130615234
5,7,1,0.022240638732910156,1,0.0
5,8,1,0.027966737747192383,1,0.0
5,9,1,0.016614913940429688,1,0.016455650329589844
5,10,1,0.016710281372070312,1,0.0
6,1,1,0.03416633605957031,1,0.0069980621337890625
6,2,1,0.00916290283203125,1,0.016362428665161133
6,3,1,0.015524625778198242,1,0.0012691020965576172
6,4,1,0.020010948181152344,1,0.014719486236572266
6,5,1,0.022240400314331055,1,0.0069959163665771484
6,6,1,0.018362760543823242,1,0.0
6,7,1,0.016799211502075195,1,0.01654672622680664
6,8,1,0.02170252799987793,1,0.0
6,9,1,0.0253293514251709,1,0.0028345584869384766
6,10,1,0.01672196388244629,1,0.0
7,1,1,0.03348660469055176,1,0.0
7,2,1,0.03600311279296875,1,0.006999492645263672
7,3,1,0.0067746639251708984,1,0.0167236328125
7,4,1,0.016555070877075195,1,0.0
7,5,1,0.02126169204711914,1,0.017659902572631836
7,6,1,0.02492070198059082,1,0.002518892288208008
7,7,1,0.03279995918273926,1,0.0
7,8,1,0.016666650772094727,1,0.016607046127319336
7,9,1,0.022139310836791992,1,0.0028269290924072266
7,10,1,0.025010108947753906,1,0.0
8,1,1,0.01668548583984375,1,0.020073652267456055
8,2,1,0.013409852981567383,1,0.008508443832397461
8,3,1,0.013147830963134766,1,0.011884927749633789
8,4,1,0.016687631607055664,1,0.016167879104614258
8,5,1,0.016768455505371094,1,0.0
8,6,1,0.016957759857177734,1,0.022312164306640625
8,7,1,0.016590595245361328,1,0.010841608047485352
8,8,1,0.01687479019165039,1,0.01691126823425293
8,9,1,0.016164779663085938,1,0.0
8,10,1,0.03143715858459473,1,0.007840394973754883
9,1,1,0.01085972785949707,1,0.01674485206604004
9,2,1,0.016605377197265625,1,0.0166165828704834
9,3,1,0.019453048706054688,1,0.006000041961669922
9,4,1,0.006895303726196289,1,0.017028331756591797
9,5,1,0.01532745361328125,1,0.0
9,6,1,0.01663494110107422,1,0.017412185668945312
9,7,1,0.0216214656829834,1,0.006999492645263672
9,8,1,0.004208087921142578,1,0.024114608764648438
9,9,1,0.026169538497924805,1,0.016207218170166016
9,10,1,0.0212709903717041,1,0.006998777389526367
10,1,1,0.0048525333404541016,1,0.02114391326904297
10,2,1,0.013153076171875,1,0.014631032943725586
10,3,1,0.01672840118408203,1,0.0
10,4,1,0.030479907989501953,1,0.002928018569946289
10,5,1,0.016620635986328125,1,0.0
10,6,1,0.021684885025024414,1,0.011707544326782227
10,7,1,0.0167391300201416,1,0.0
10,8,1,0.029567956924438477,1,0.0037636756896972656
10,9,1,0.016535043716430664,1,0.01822638511657715
10,10,1,0.01990365982055664,1,0.0
