l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.012139081954956055,1,0.009493112564086914
1,2,1,0.007646322250366211,1,0.0
1,3,1,0.016827821731567383,1,0.017031192779541016
1,4,1,0.015642642974853516,1,0.017287731170654297
1,5,1,0.0060482025146484375,1,0.02786111831665039
1,6,1,0.0,1,0.030956029891967773
1,7,1,0.010464191436767578,1,0.03251957893371582
1,8,1,0.011913299560546875,1,0.029264450073242188
1,9,1,0.01684093475341797,1,0.04040861129760742
1,10,1,0.003999948501586914,1,0.02718043327331543
2,1,1,0.011380910873413086,1,0.0
2,2,1,0.0,1,0.021913528442382812
2,3,1,0.007001161575317383,1,0.003127574920654297
2,4,1,0.0,1,0.0
2,5,1,0.018368244171142578,1,0.006000995635986328
2,6,1,0.004998683929443359,1,0.003207683563232422
2,7,1,0.0,1,0.02457451820373535
2,8,1,0.0,1,0.025310993194580078
2,9,1,0.015008926391601562,1,0.031987667083740234
2,10,1,0.00318145751953125,1,0.06704068183898926
3,1,1,0.0,1,0.0
3,2,1,0.01754164695739746,1,0.0059986114501953125
3,3,1,0.004998683929443359,1,0.004086494445800781
3,4,1,0.0,1,0.0
3,5,1,0.0166475772857666,1,0.0
3,6,1,0.0,1,0.019329309463500977
3,7,1,0.0026090145111083984,1,0.0
3,8,1,0.011533975601196289,1,0.0
3,9,1,0.0,1,0.016586780548095703
3,10,1,0.015624761581420898,1,0.007888555526733398
4,1,1,0.008999109268188477,1,0.0010275840759277344
4,2,1,0.0,1,0.016880035400390625
4,3,1,0.0,1,0.0
4,4,1,0.01662921905517578,1,0.0
4,5,1,0.0,1,0.01881122589111328
4,6,1,0.0053098201751708984,1,0.00831460952758789
4,7,1,0.0005147457122802734,1,0.0
4,8,1,0.0,1,0.02362537384033203
4,9,1,0.00800013542175293,1,0.0017268657684326172
4,10,1,0.0,1,0.016616106033325195
5,1,1,0.0,1,0.016739845275878906
5,2,1,0.0,1,0.021129369735717773
5,3,1,0.0,1,0.011754751205444336
5,4,1,0.0,1,0.0
5,5,1,0.018401145935058594,1,0.0049991607666015625
5,6,1,0.005001068115234375,1,0.00493168830871582
5,7,1,0.0,1,0.0
5,8,1,0.0167539119720459,1,0.0
5,9,1,0.0,1,0.016655921936035156
5,10,1,0.0,1,0.0
6,1,1,0.016019582748413086,1,0.0006382465362548828
6,2,1,0.0,1,0.016148090362548828
6,3,1,0.0060079097747802734,1,0.003757953643798828
6,4,1,0.008192300796508789,1,0.005998373031616211
6,5,1,0.00500035285949707,1,0.005128383636474609
6,6,1,0.0,1,0.0
6,7,1,0.016268253326416016,1,0.0
6,8,1,0.0,1,0.016893386840820312
6,9,1,0.0,1,0.0
6,10,1,0.016651153564453125,1,0.0
7,1,1,0.0,1,0.019006729125976562
7,2,1,0.002635478973388672,1,0.0
7,3,1,0.013399600982666016,1,0.006000041961669922
7,4,1,0.003995656967163086,1,0.005166053771972656
7,5,1,0.0,1,0.0
7,6,1,0.016254186630249023,1,0.0
7,7,1,0.0,1,0.016878843307495117
7,8,1,0.0,1,0.016515731811523438
7,9,1,0.0,1,0.01053619384765625
7,10,1,0.006187915802001953,1,0.0
8,1,1,0.012026548385620117,1,0.006095409393310547
8,2,1,0.0031690597534179688,1,0.0
8,3,1,0.011966705322265625,1,0.0
8,4,1,0.0,1,0.016846656799316406
8,5,1,0.0,1,0.0
8,6,1,0.016740083694458008,1,0.0
8,7,1,0.0,1,0.017183780670166016
8,8,1,0.0,1,0.014009714126586914
8,9,1,0.0019505023956298828,1,0.0
8,10,1,0.0,1,0.02135324478149414
9,1,1,0.0,1,0.012099981307983398
9,2,1,0.0,1,0.0
9,3,1,0.016627073287963867,1,0.0
9,4,1,0.0,1,0.01688075065612793
9,5,1,0.0,1,0.016433238983154297
9,6,1,0.0,1,0.0
9,7,1,0.01659536361694336,1,0.0
9,8,1,0.016437530517578125,1,0.004999399185180664
9,9,1,0.003996610641479492,1,0.00644373893737793
9,10,1,0.005545854568481445,1,0.0
10,1,1,0.011771917343139648,1,0.0
10,2,1,0.0,1,0.016396760940551758
10,3,1,0.0010094642639160156,1,0.0
10,4,1,0.0,1,0.01574420928955078
10,5,1,0.0,1,0.016106367111206055
10,6,1,0.000637054443359375,1,0.0
10,7,1,0.015009641647338867,1,0.005371809005737305
10,8,1,0.003999471664428711,1,0.006000518798828125
10,9,1,0.0020210742950439453,1,0.0
10,10,1,0.021075963973999023,1,0.003547191619873047
