l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0006814002990722656,1,0.0
1,2,1,0.011218547821044922,1,0.003834962844848633
1,3,1,0.003256082534790039,1,0.0029993057250976562
1,4,1,0.0032062530517578125,1,0.006003379821777344
1,5,1,0.002763032913208008,1,0.0
1,6,1,0.015028953552246094,1,0.0060884952545166016
1,7,1,0.0,1,0.012008190155029297
1,8,1,0.0,1,0.01663041114807129
1,9,1,0.0,1,0.01671290397644043
1,10,1,0.0,1,0.023514509201049805
2,1,1,0.0039997100830078125,1,0.0030002593994140625
2,2,1,0.002015829086303711,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.018021821975708008
2,5,1,0.003327608108520508,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.011841773986816406,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.016689062118530273
2,10,1,0.0,1,0.03905010223388672
3,1,1,0.003999471664428711,1,0.004047393798828125
3,2,1,0.006688594818115234,1,0.0014417171478271484
3,3,1,0.0,1,0.0
3,4,1,0.012070894241333008,1,0.003999233245849609
3,5,1,0.004294395446777344,1,0.0040090084075927734
3,6,1,0.002983570098876953,1,0.003010272979736328
3,7,1,0.002994060516357422,1,0.0018758773803710938
3,8,1,0.0,1,0.009697675704956055
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.01502370834350586,1,0.0015561580657958984
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.017382383346557617
4,4,1,0.003998756408691406,1,0.003000020980834961
4,5,1,0.0029997825622558594,1,0.0029997825622558594
4,6,1,0.003083944320678711,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.015011072158813477,1,0.0015883445739746094
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.01699066162109375,1,0.003998279571533203
5,2,1,0.0005156993865966797,1,0.0
5,3,1,0.0,1,0.011858224868774414
5,4,1,0.0,1,0.012529373168945312
5,5,1,0.0039348602294921875,1,0.0
5,6,1,0.0,1,0.0210418701171875
5,7,1,0.0029897689819335938,1,0.0030126571655273438
5,8,1,0.0019783973693847656,1,0.004433393478393555
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.016598224639892578,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.01501011848449707,1,0.001749277114868164
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0031261444091796875,1,0.0037784576416015625
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.011439085006713867
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.01612544059753418,1,0.0032129287719726562
7,2,1,0.0029997825622558594,1,0.003000020980834961
7,3,1,0.003000020980834961,1,0.003002643585205078
7,4,1,0.0019469261169433594,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.01656317710876465,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.01917552947998047
7,9,1,0.003000497817993164,1,0.0029993057250976562
7,10,1,0.0017840862274169922,1,0.005921840667724609
8,1,1,0.0056972503662109375,1,0.0
8,2,1,0.006024360656738281,1,0.005310773849487305
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.012524843215942383
8,5,1,0.005997419357299805,1,0.004999399185180664
8,6,1,0.0050122737884521484,1,0.004420042037963867
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.01652073860168457
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.01669478416442871
9,1,1,0.0013382434844970703,1,0.0
9,2,1,0.0,1,0.017084598541259766
9,3,1,0.0022401809692382812,1,0.0
9,4,1,0.0,1,0.011518716812133789
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.016295433044433594
9,7,1,0.0030002593994140625,1,0.002996683120727539
9,8,1,0.0020058155059814453,1,0.00399470329284668
9,9,1,0.0031011104583740234,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.016390323638916016
10,2,1,0.0,1,0.01688218116760254
10,3,1,0.0,1,0.0
10,4,1,0.016618728637695312,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.01818084716796875,1,0.003894329071044922
10,7,1,0.0,1,0.012061595916748047
10,8,1,0.003000020980834961,1,0.0039975643157958984
10,9,1,0.0020036697387695312,1,0.003996849060058594
10,10,1,0.0029549598693847656,1,0.0
