l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.017148256301879883
1,5,1,0.0010004043579101562,1,0.003480195999145508
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.011673212051391602
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.016779422760009766
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.01633763313293457
2,5,1,0.0010383129119873047,1,0.003003358840942383
2,6,1,0.0,1,0.003994941711425781
2,7,1,0.0009927749633789062,1,0.007047176361083984
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.01647353172302246
2,10,1,0.0,1,0.01624751091003418
3,1,1,0.0010044574737548828,1,0.004000425338745117
3,2,1,0.0007350444793701172,1,0.0
3,3,1,0.0,1,0.00900721549987793
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.016483783721923828
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.020568132400512695
4,1,1,0.0010004043579101562,1,0.0019998550415039062
4,2,1,0.0009999275207519531,1,0.0029997825622558594
4,3,1,0.0,1,0.0030028820037841797
4,4,1,0.0013086795806884766,1,0.0009987354278564453
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.01564955711364746
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.016944408416748047
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.015970706939697266
5,8,1,0.0010058879852294922,1,0.0019991397857666016
5,9,1,0.0,1,0.0016779899597167969
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.011487722396850586,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.01761341094970703
6,7,1,0.0,1,0.0029993057250976562
6,8,1,0.0010004043579101562,1,0.002999544143676758
6,9,1,0.0,1,0.0029993057250976562
6,10,1,0.0010073184967041016,1,0.0019991397857666016
7,1,1,0.0009930133819580078,1,0.001711130142211914
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.01501607894897461,1,0.0058290958404541016
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.014042854309082031
7,9,1,0.0,1,0.00590968132019043
7,10,1,0.0009961128234863281,1,0.003473043441772461
8,1,1,0.0010042190551757812,1,0.0030074119567871094
8,2,1,0.001992464065551758,1,0.0012433528900146484
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0004382133483886719,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.01500844955444336
9,1,1,0.0012252330780029297,1,0.0020411014556884766
9,2,1,0.0009999275207519531,1,0.003000020980834961
9,3,1,0.0010006427764892578,1,0.001999378204345703
9,4,1,0.0010001659393310547,1,0.0019996166229248047
9,5,1,0.0,1,0.0034029483795166016
9,6,1,0.0005078315734863281,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.015006303787231445
9,10,1,0.0011444091796875,1,0.0006253719329833984
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.01714015007019043
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.01761317253112793
10,10,1,0.0,1,0.003487825393676758
