l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.015622854232788086,1,0.0010488033294677734
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.017637014389038086
1,5,1,0.0009984970092773438,1,0.008000373840332031
1,6,1,0.001999378204345703,1,0.007363557815551758
1,7,1,0.001003265380859375,1,0.006816387176513672
1,8,1,0.0016303062438964844,1,0.0025091171264648438
1,9,1,0.0,1,0.016146421432495117
1,10,1,0.0,1,0.002240419387817383
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.014378547668457031
2,3,1,0.0,1,0.006253719329833984
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.010434627532958984
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.018909454345703125
2,9,1,0.0,1,0.01100015640258789
2,10,1,0.0007963180541992188,1,0.01668834686279297
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.015016317367553711,1,0.004075527191162109
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.014664649963378906
3,8,1,0.0,1,0.0063877105712890625
3,9,1,0.0,1,0.003426074981689453
3,10,1,0.0018794536590576172,1,0.0039179325103759766
4,1,1,0.0,1,0.00398707389831543
4,2,1,0.003374338150024414,1,0.0
4,3,1,0.004331827163696289,1,0.00592803955078125
4,4,1,0.0010004043579101562,1,0.003000020980834961
4,5,1,0.0009996891021728516,1,0.003000497817993164
4,6,1,0.0010118484497070312,1,0.003987550735473633
4,7,1,0.0016014575958251953,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.01818370819091797
5,1,1,0.0020003318786621094,1,0.0024390220642089844
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.010582447052001953
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.01685810089111328
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.016135692596435547
5,10,1,0.0004165172576904297,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.015624284744262695,1,0.0038766860961914062
6,4,1,0.0010004043579101562,1,0.0029997825622558594
6,5,1,0.0010004043579101562,1,0.00299835205078125
6,6,1,0.0010001659393310547,1,0.0029938220977783203
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.019095659255981445
7,1,1,0.0019991397857666016,1,0.0013201236724853516
7,2,1,0.0,1,0.010869026184082031
7,3,1,0.005369901657104492,1,0.006422996520996094
7,4,1,0.0026171207427978516,1,0.004850625991821289
7,5,1,0.0009996891021728516,1,0.00596165657043457
7,6,1,0.0019996166229248047,1,0.005162715911865234
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.016097545623779297
7,10,1,0.0,1,0.0030469894409179688
8,1,1,0.00099945068359375,1,0.005004405975341797
8,2,1,0.002001523971557617,1,0.004765748977661133
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.016605615615844727
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.01705193519592285
8,8,1,0.000997781753540039,1,0.00442051887512207
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.010224580764770508,1,0.004221200942993164
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.012944936752319336
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.016419649124145508,1,0.0030324459075927734
9,9,1,0.0009958744049072266,1,0.0029985904693603516
9,10,1,0.0010006427764892578,1,0.0030014514923095703
10,1,1,0.0009987354278564453,1,0.004001617431640625
10,2,1,0.0005679130554199219,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.016653060913085938
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.015993356704711914
10,8,1,0.001007080078125,1,0.0029973983764648438
10,9,1,0.0010013580322265625,1,0.0010023117065429688
10,10,1,0.0,1,0.0
