l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.017548322677612305
1,4,1,0.0009996891021728516,1,0.005002260208129883
1,5,1,0.0009975433349609375,1,0.005998849868774414
1,6,1,0.0010004043579101562,1,0.002077341079711914
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.01675868034362793
1,9,1,0.0,1,0.015009403228759766
1,10,0,0.0008437633514404297,0,0.0
2,1,1,0.0,1,0.0
2,2,1,0.01580047607421875,1,0.0030028820037841797
2,3,1,0.0009987354278564453,1,0.003766298294067383
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.008470296859741211
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.009581327438354492
2,9,1,0.0,1,0.007691860198974609
2,10,0,0.0,1,0.01662278175354004
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.016116857528686523,1,0.0006384849548339844
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.016028642654418945
3,8,1,0.0010039806365966797,1,0.00299835205078125
3,9,1,0.0010027885437011719,1,0.000690460205078125
3,10,0,0.0,1,0.0
4,1,1,0.0,1,0.011667490005493164
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.017255067825317383
4,5,1,0.0009996891021728516,1,0.0030078887939453125
4,6,1,0.0,1,0.003000497817993164
4,7,1,0.0010006427764892578,1,0.002998828887939453
4,8,1,0.0009999275207519531,1,0.005510568618774414
4,9,1,0.0015082359313964844,1,0.0
4,10,0,0.0,1,0.0
5,1,1,0.0,1,0.013056516647338867
5,2,1,0.0029997825622558594,1,0.005965232849121094
5,3,1,0.0010025501251220703,1,0.002997875213623047
5,4,1,0.0011675357818603516,1,0.0005266666412353516
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.01784992218017578
5,7,1,0.0020089149475097656,1,0.004344463348388672
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.009280204772949219
5,10,0,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.016869544982910156
6,3,1,0.0010058879852294922,1,0.0029926300048828125
6,4,1,0.0010004043579101562,1,0.0029993057250976562
6,5,1,0.0010085105895996094,1,0.003989458084106445
6,6,1,0.0013413429260253906,1,0.0006647109985351562
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.01667189598083496
6,10,0,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.015006542205810547
7,3,1,0.0018205642700195312,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.01719045639038086,1,0.0017659664154052734
7,7,1,0.0,1,0.01470804214477539
7,8,1,0.0010061264038085938,1,0.0069942474365234375
7,9,1,0.0011665821075439453,1,0.006720542907714844
7,10,0,0.0009999275207519531,1,0.005002260208129883
8,1,1,0.001999378204345703,1,0.005002260208129883
8,2,1,0.0018951892852783203,1,0.0038259029388427734
8,3,1,0.0,1,0.012944221496582031
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.016560077667236328
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.01883244514465332
8,10,0,0.0,1,0.0
9,1,1,0.0,1,0.01805424690246582
9,2,1,0.0009963512420654297,1,0.002187013626098633
9,3,1,0.0,1,0.0122222900390625
9,4,1,0.001998424530029297,1,0.006001949310302734
9,5,1,0.001998424530029297,1,0.0028269290924072266
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016673564910888672
9,9,1,0.0,1,0.0
9,10,0,0.0,1,0.01500844955444336
10,1,1,0.0013668537139892578,1,0.0019497871398925781
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.013016700744628906
10,4,1,0.0020165443420410156,1,0.005342245101928711
10,5,1,0.0,1,0.010332584381103516
10,6,1,0.0019974708557128906,1,0.004000425338745117
10,7,1,0.0009996891021728516,1,0.0030028820037841797
10,8,1,0.0013589859008789062,1,0.004881381988525391
10,9,1,0.0,1,0.0
10,10,0,0.0,1,0.0
