l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.01773381233215332
1,2,1,0.0039997100830078125,1,0.004000663757324219
1,3,1,0.003999471664428711,1,0.0031468868255615234
1,4,1,0.0,1,0.016354799270629883
1,5,1,0.0,1,0.03335261344909668
1,6,1,0.0,1,0.01689314842224121
1,7,1,0.0,1,0.03332090377807617
1,8,1,0.0,1,0.03343486785888672
1,9,1,0.0,1,0.02287769317626953
1,10,1,0.0009739398956298828,1,0.009179353713989258
2,1,1,0.017421960830688477,1,0.0039975643157958984
2,2,1,0.003999948501586914,1,0.003999948501586914
2,3,1,0.004281282424926758,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.016443490982055664,1,0.0
2,6,1,0.01659083366394043,1,0.020094871520996094
2,7,1,0.0021605491638183594,1,0.04329800605773926
2,8,1,0.0,1,0.07169342041015625
2,9,1,0.0,1,0.07837343215942383
2,10,1,0.0,1,0.08951640129089355
3,1,1,0.0,1,0.010953903198242188
3,2,1,0.0040013790130615234,1,0.003511667251586914
3,3,1,0.0022225379943847656,1,0.005917072296142578
3,4,1,0.00048351287841796875,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.019317626953125,1,0.04758000373840332
3,7,1,0.010056495666503906,1,0.023825645446777344
3,8,1,0.0077936649322509766,1,0.014662027359008789
3,9,1,0.0,1,0.041951656341552734
3,10,1,0.002031087875366211,1,0.08253717422485352
4,1,1,0.0,1,0.01646256446838379
4,2,1,0.0,1,0.0
4,3,1,0.01670694351196289,1,0.006812572479248047
4,4,1,0.0,1,0.009577751159667969
4,5,1,0.0,1,0.0
4,6,1,0.017585277557373047,1,0.005275726318359375
4,7,1,0.009000539779663086,1,0.006742000579833984
4,8,1,0.004641056060791016,1,0.007091522216796875
4,9,1,0.0,1,0.0
4,10,1,0.01659846305847168,1,0.004728794097900391
5,1,1,0.0,1,0.011536121368408203
5,2,1,0.0,1,0.0
5,3,1,0.017741918563842773,1,0.0043792724609375
5,4,1,0.010942459106445312,1,0.005044221878051758
5,5,1,0.004000425338745117,1,0.00400090217590332
5,6,1,0.008311271667480469,1,0.001110076904296875
5,7,1,0.011061668395996094,1,0.003615140914916992
5,8,1,0.0,1,0.013400554656982422
5,9,1,0.0,1,0.0
5,10,1,0.0032885074615478516,1,0.0
6,1,1,0.01495814323425293,1,0.0
6,2,1,0.015008211135864258,1,0.006985664367675781
6,3,1,0.007999181747436523,1,0.005000114440917969
6,4,1,0.004999876022338867,1,0.004000186920166016
6,5,1,0.005000591278076172,1,0.003999471664428711
6,6,1,0.004999876022338867,1,0.004000186920166016
6,7,1,0.007000446319580078,1,0.007675886154174805
6,8,1,0.00834798812866211,1,0.0
6,9,1,0.0,1,0.015654802322387695
6,10,1,0.0,1,0.0
7,1,1,0.01685619354248047,1,0.0
7,2,1,0.015045166015625,1,0.0
7,3,1,0.009768009185791016,1,0.010846614837646484
7,4,1,0.004765987396240234,1,0.007336616516113281
7,5,1,0.0,1,0.01705002784729004
7,6,1,0.007893800735473633,1,0.0
7,7,1,0.013517618179321289,1,0.011780023574829102
7,8,1,0.00500798225402832,1,0.007995367050170898
7,9,1,0.0037555694580078125,1,0.0
7,10,1,0.0189208984375,1,0.00595402717590332
8,1,1,0.002582550048828125,1,0.007296562194824219
8,2,1,0.0,1,0.015454769134521484
8,3,1,0.0,1,0.0
8,4,1,0.016190052032470703,1,0.0
8,5,1,0.019633769989013672,1,0.006001710891723633
8,6,1,0.00599980354309082,1,0.0018143653869628906
8,7,1,0.0,1,0.01339578628540039
8,8,1,0.0033521652221679688,1,0.0
8,9,1,0.0,1,0.017962932586669922
8,10,1,0.002993345260620117,1,0.0037033557891845703
9,1,1,0.0,1,0.008419513702392578
9,2,1,0.0,1,0.0
9,3,1,0.015021085739135742,1,0.00174713134765625
9,4,1,0.0,1,0.0
9,5,1,0.015532255172729492,1,0.003851652145385742
9,6,1,0.0039997100830078125,1,0.004000425338745117
9,7,1,0.00400090217590332,1,0.0021262168884277344
9,8,1,0.0,1,0.0
9,9,1,0.01655125617980957,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0065762996673583984,1,0.0
10,2,1,0.011617660522460938,1,0.0050106048583984375
10,3,1,0.0,1,0.0
10,4,1,0.011774301528930664,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.019506454467773438,1,0.003999471664428711
10,7,1,0.003000020980834961,1,0.004015922546386719
10,8,1,0.002744913101196289,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.016921043395996094,1,0.0
