l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.01614546775817871
1,3,1,0.0009992122650146484,1,0.0036537647247314453
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.011076688766479492,1,0.0005865097045898438
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.01628422737121582
1,9,1,0.0,1,0.005034446716308594
1,10,1,0.0,1,0.004999876022338867
2,1,1,0.0010006427764892578,1,0.002000093460083008
2,2,1,0.0010004043579101562,1,0.002309083938598633
2,3,1,0.0007128715515136719,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.016538143157958984
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.018785715103149414
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.015031576156616211
3,2,1,0.0019865036010742188,1,0.0029990673065185547
3,3,1,0.0010013580322265625,1,0.0012896060943603516
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0091094970703125
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.016222000122070312
4,1,1,0.0010797977447509766,1,0.0020112991333007812
4,2,1,0.000993967056274414,1,0.002004384994506836
4,3,1,0.0010042190551757812,1,0.0009968280792236328
4,4,1,0.0,1,0.002004384994506836
4,5,1,0.0009853839874267578,1,0.001001119613647461
4,6,1,0.001008749008178711,1,0.0019826889038085938
4,7,1,0.0002601146697998047,1,0.000499725341796875
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.015059947967529297
5,4,1,0.001100301742553711,1,0.0007236003875732422
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.015056133270263672,1,0.0014324188232421875
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.01724410057067871
6,7,1,0.0,1,0.001964092254638672
6,8,1,0.0010318756103515625,1,0.0010037422180175781
6,9,1,0.0,1,0.0025289058685302734
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.009007930755615234
7,3,1,0.0005733966827392578,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.015559673309326172
7,9,1,0.0,1,0.0019636154174804688
7,10,1,0.0,1,0.001999378204345703
8,1,1,0.0010461807250976562,1,0.001986980438232422
8,2,1,0.0010006427764892578,1,0.0020072460174560547
8,3,1,0.0009996891021728516,1,0.0010089874267578125
8,4,1,0.0,1,0.0019991397857666016
8,5,1,0.0010073184967041016,1,0.0020875930786132812
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.015877246856689453
9,2,1,0.0008246898651123047,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.015953540802001953
9,8,1,0.00034356117248535156,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.016659975051879883
10,5,1,0.0028731822967529297,1,0.002527952194213867
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.010764598846435547
