l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016798734664916992,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.016453981399536133,1,0.0
1,4,1,0.0,1,0.017112016677856445
1,5,1,0.0,1,0.02083444595336914
1,6,1,0.0018661022186279297,1,0.010450363159179688
1,7,1,0.0,1,0.016544342041015625
1,8,0,0.0,0,0.01671123504638672
1,9,0,0.0,0,0.0
1,10,0,0.0167086124420166,0,0.0
2,1,1,0.015006542205810547,1,0.0016982555389404297
2,2,1,0.0,1,0.0
2,3,1,0.01606607437133789,1,0.008138895034790039
2,4,1,0.0,1,0.009000301361083984
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.01813817024230957
2,7,1,0.0,1,0.015287637710571289
2,8,0,0.0,1,0.03333163261413574
2,9,0,0.0030562877655029297,1,0.03561806678771973
2,10,0,0.0009605884552001953,1,0.042461395263671875
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.01683330535888672
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.019418716430664062
3,5,1,0.0029888153076171875,1,0.005010366439819336
3,6,1,0.003002166748046875,1,0.008328437805175781
3,7,1,0.001584768295288086,1,0.009080648422241211
3,8,0,0.004994630813598633,1,0.00599980354309082
3,9,0,0.003000974655151367,1,0.0021986961364746094
3,10,0,0.0,1,0.0
4,1,1,0.0,1,0.016837358474731445
4,2,1,0.0,1,0.017188072204589844
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.01726055145263672
4,5,1,0.0029973983764648438,1,0.005045652389526367
4,6,1,0.003000497817993164,1,0.0046350955963134766
4,7,1,0.0,1,0.0
4,8,0,0.0,1,0.017847299575805664
4,9,0,0.002737283706665039,1,0.0
4,10,0,0.0,1,0.011445045471191406
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.016619443893432617
5,3,1,0.0,1,0.00700688362121582
5,4,1,0.0,1,0.011236190795898438
5,5,1,0.0,1,0.0
5,6,1,0.01755380630493164,1,0.005002737045288086
5,7,1,0.0030069351196289062,1,0.005732297897338867
5,8,0,0.0,1,0.0
5,9,0,0.01768183708190918,1,0.0060002803802490234
5,10,0,0.003000020980834961,1,0.0062503814697265625
6,1,1,0.0,1,0.017034530639648438
6,2,1,0.0,1,0.016811847686767578
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.020016908645629883
6,5,1,0.002997875213623047,1,0.004999876022338867
6,6,1,0.0039119720458984375,1,0.0
6,7,1,0.017003774642944336,1,0.009101629257202148
6,8,0,0.0,1,0.009814262390136719
6,9,0,0.0,1,0.0
6,10,0,0.013392210006713867,1,0.0006127357482910156
7,1,1,0.0,1,0.016603708267211914
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.019540071487426758
7,4,1,0.0029997825622558594,1,0.005000591278076172
7,5,1,0.003999471664428711,1,0.001764059066772461
7,6,1,0.0,1,0.0
7,7,1,0.016515493392944336,1,0.0
7,8,0,0.0,1,0.0
7,9,0,0.018253087997436523,1,0.004197120666503906
7,10,0,0.0,1,0.011163473129272461
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.01649785041809082
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.01938343048095703
8,5,1,0.002999544143676758,1,0.005000114440917969
8,6,1,0.003000020980834961,1,0.0033888816833496094
8,7,1,0.0,1,0.0
8,8,0,0.016335725784301758,1,0.0
8,9,0,0.0,1,0.0
8,10,0,0.016052722930908203,1,0.005765438079833984
9,1,1,0.0,1,0.0
9,2,1,0.011421918869018555,1,0.0
9,3,1,0.0,1,0.019656896591186523
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.01750636100769043
9,6,1,0.0029981136322021484,1,0.0059909820556640625
9,7,1,0.0038738250732421875,1,0.0
9,8,0,0.01676321029663086,1,0.007704734802246094
9,9,0,0.0,1,0.009389162063598633
9,10,0,0.0,1,0.0
10,1,1,0.017629146575927734,1,0.006476163864135742
10,2,1,0.008171796798706055,1,0.0020973682403564453
10,3,1,0.0,1,0.020055294036865234
10,4,1,0.0030002593994140625,1,0.005999326705932617
10,5,1,0.0038275718688964844,1,0.007191896438598633
10,6,1,0.0,1,0.008401632308959961
10,7,1,0.0,1,0.0
10,8,0,0.01661825180053711,1,0.0
10,9,0,0.0,1,0.016119718551635742
10,10,0,0.003004789352416992,1,0.0032546520233154297
