l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.015506267547607422
1,6,1,0.0,1,0.0009856224060058594
1,7,1,0.0,1,0.0010013580322265625
1,8,1,0.0,1,0.0019991397857666016
1,9,1,0.0,1,0.0010094642639160156
1,10,1,0.0,1,0.0009996891021728516
2,1,1,0.0,1,0.0019998550415039062
2,2,1,0.0,1,0.0009999275207519531
2,3,1,0.0,1,0.0009999275207519531
2,4,1,0.0,1,0.002000570297241211
2,5,1,0.0,1,0.0019996166229248047
2,6,1,0.0,1,0.0018157958984375
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.01351022720336914
3,4,1,0.0,1,0.0015070438385009766
3,5,1,0.0,1,0.00046563148498535156
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.01629042625427246
4,7,1,0.0,1,0.00229644775390625
4,8,1,0.0,1,0.0006186962127685547
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.013686180114746094
5,9,1,0.0,1,0.0005638599395751953
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.002650737762451172
7,2,1,0.0,1,0.00099945068359375
7,3,1,0.0,1,0.0010013580322265625
7,4,1,0.0,1,0.0009996891021728516
7,5,1,0.0,1,0.001004934310913086
7,6,1,0.0,1,0.001995563507080078
7,7,1,0.0,1,0.0015752315521240234
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0013854503631591797
8,2,1,0.0,1,0.0010001659393310547
8,3,1,0.0,1,0.0010001659393310547
8,4,1,0.0,1,0.0009989738464355469
8,5,1,0.0,1,0.0010001659393310547
8,6,1,0.0,1,0.0010004043579101562
8,7,1,0.0,1,0.0010008811950683594
8,8,1,0.0,1,0.0009992122650146484
8,9,1,0.0,1,0.0010001659393310547
8,10,1,0.0,1,0.0009996891021728516
9,1,1,0.0,1,0.0010001659393310547
9,2,1,0.0,1,0.0009999275207519531
9,3,1,0.0,1,0.0020160675048828125
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.016648530960083008
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
