l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.008666515350341797
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.01854872703552246
1,5,1,0.001001119613647461,1,0.005999088287353516
1,6,1,0.0,1,0.006703853607177734
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.016786813735961914
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.01680135726928711
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.016679048538208008
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.02088785171508789
2,6,1,0.0,1,0.014402627944946289
2,7,1,0.0,1,0.012918472290039062
2,8,1,0.0,1,0.016512632369995117
2,9,1,0.0,1,0.019699811935424805
2,10,1,0.0,1,0.029108285903930664
3,1,1,0.001008749008178711,1,0.002997875213623047
3,2,1,0.0021088123321533203,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.011860847473144531
3,5,1,0.0010001659393310547,1,0.002001523971557617
3,6,1,0.0009984970092773438,1,0.007999420166015625
3,7,1,0.0,1,0.0019495487213134766
3,8,1,0.0,1,0.016432762145996094
3,9,1,0.0,1,0.03354310989379883
3,10,1,0.0,1,0.047937870025634766
4,1,1,0.003367185592651367,1,0.006603717803955078
4,2,1,0.003000020980834961,1,0.00400090217590332
4,3,1,0.0017495155334472656,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.016484737396240234,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0009303092956542969,1,0.015031814575195312
4,10,1,0.0007128715515136719,1,0.022013187408447266
5,1,1,0.002000093460083008,1,0.0012829303741455078
5,2,1,0.0,1,0.008104562759399414
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.016321659088134766
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.016742944717407227
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.015514850616455078
6,4,1,0.0011363029479980469,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.01678943634033203
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.016614437103271484,1,0.003999233245849609
7,3,1,0.0019998550415039062,1,0.003999948501586914
7,4,1,0.002000093460083008,1,0.0030012130737304688
7,5,1,0.0021028518676757812,1,0.002999544143676758
7,6,1,0.0009999275207519531,1,0.002999544143676758
7,7,1,0.0005154609680175781,1,0.0
7,8,1,0.0,1,0.008133172988891602
7,9,1,0.0006086826324462891,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0013682842254638672,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.016933679580688477
8,7,1,0.0019996166229248047,1,0.0050013065338134766
8,8,1,0.0019986629486083984,1,0.004000186920166016
8,9,1,0.0016672611236572266,1,0.002168893814086914
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.01545095443725586,1,0.003973484039306641
9,4,1,0.0009984970092773438,1,0.002000093460083008
9,5,1,0.0019998550415039062,1,0.0019998550415039062
9,6,1,0.0010004043579101562,1,0.003000497817993164
9,7,1,0.0007431507110595703,1,0.0030031204223632812
9,8,1,0.0,1,0.0019495487213134766
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.011240243911743164,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.015006303787231445
10,5,1,0.0016150474548339844,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.015507221221923828
10,9,1,0.0006208419799804688,1,0.0
10,10,1,0.0,1,0.0
