l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.011405706405639648
1,5,1,0.0,1,0.0030324459075927734
1,6,1,0.0,1,0.0020003318786621094
1,7,1,0.0,1,0.001998424530029297
1,8,1,0.0,1,0.0030019283294677734
1,9,1,0.0,1,0.002994060516357422
1,10,1,0.0,1,0.0029354095458984375
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.01710677146911621
2,8,1,0.0,1,0.0019998550415039062
2,9,1,0.0,1,0.003248453140258789
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.011006355285644531
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.016710281372070312
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0010590553283691406
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.015509843826293945
5,5,1,0.000640869140625,1,0.0013740062713623047
5,6,1,0.0,1,0.0019996166229248047
5,7,1,0.0,1,0.0020096302032470703
5,8,1,0.0,1,0.0009911060333251953
5,9,1,0.0,1,0.0009996891021728516
5,10,1,0.0,1,0.0030014514923095703
6,1,1,0.0,1,0.0019989013671875
6,2,1,0.0010004043579101562,1,0.0018496513366699219
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.01609015464782715
7,1,1,0.0,1,0.00199127197265625
7,2,1,0.0,1,0.0029828548431396484
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.010676145553588867
7,8,1,0.0,1,0.0005571842193603516
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.015506267547607422
8,6,1,0.0011696815490722656,1,0.00014448165893554688
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.016511201858520508
9,4,1,0.0,1,0.002507925033569336
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.012525796890258789,1,0.0024924278259277344
10,2,1,0.0,1,0.0019979476928710938
10,3,1,0.0,1,0.0020017623901367188
10,4,1,0.0,1,0.001998424530029297
10,5,1,0.0010001659393310547,1,0.0009996891021728516
10,6,1,0.0010004043579101562,1,0.0010004043579101562
10,7,1,0.0,1,0.0020008087158203125
10,8,1,0.0,1,0.0019986629486083984
10,9,1,0.0,1,0.0018715858459472656
10,10,1,0.0,1,0.0
