l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.00047588348388671875
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0009996891021728516
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0010006427764892578
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0009987354278564453
3,6,1,0.0,1,0.0010008811950683594
3,7,1,0.0,1,0.0010044574737548828
3,8,1,0.0,1,0.0008127689361572266
3,9,1,0.0,1,0.0014073848724365234
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0010035037994384766
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0009987354278564453
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0009992122650146484
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0010066032409667969
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0009987354278564453
5,2,1,0.0,1,0.0007240772247314453
5,3,1,0.0,1,0.0004429817199707031
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.008509159088134766
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.007007598876953125
7,7,1,0.0,1,0.0006289482116699219
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.015625715255737305
9,3,1,0.0,1,0.0002932548522949219
9,4,1,0.0,1,0.001035928726196289
9,5,1,0.0,1,0.0010058879852294922
9,6,1,0.0,1,0.0009984970092773438
9,7,1,0.0,1,0.0009949207305908203
9,8,1,0.0,1,0.0009996891021728516
9,9,1,0.0,1,0.0009999275207519531
9,10,1,0.0,1,0.001008749008178711
10,1,1,0.0009915828704833984,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0010006427764892578
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0009980201721191406
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0010006427764892578
10,10,1,0.0,1,0.0
