l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0007233619689941406,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.015006780624389648
1,5,1,0.0,1,0.004005908966064453
1,6,1,0.0009984970092773438,1,0.003507852554321289
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.008932113647460938
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.015006780624389648,1,0.0014443397521972656
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.016414403915405273
3,3,1,0.0,1,0.002040386199951172
3,4,1,0.0,1,0.0019998550415039062
3,5,1,0.0,1,0.002000093460083008
3,6,1,0.0,1,0.001999378204345703
3,7,1,0.0,1,0.002009153366088867
3,8,1,0.0,1,0.0019915103912353516
3,9,1,0.0,1,0.0009999275207519531
3,10,1,0.0,1,0.001001119613647461
4,1,1,0.00041794776916503906,1,0.0008361339569091797
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.01619434356689453
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.01717519760131836
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.01568150520324707
6,3,1,0.0010061264038085938,1,0.002000093460083008
6,4,1,0.0,1,0.0019991397857666016
6,5,1,0.0012774467468261719,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.01107168197631836
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.015010356903076172,1,0.0025997161865234375
7,8,1,0.0,1,0.0019795894622802734
7,9,1,0.0,1,0.0020036697387695312
7,10,1,0.0,1,0.003003358840942383
8,1,1,0.0009999275207519531,1,0.0029969215393066406
8,2,1,0.0010004043579101562,1,0.0012974739074707031
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0011670589447021484
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.016727924346923828
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.018065929412841797
10,5,1,0.0,1,0.0029964447021484375
10,6,1,0.0,1,0.0019805431365966797
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.008678674697875977
10,10,1,0.0,1,0.002005338668823242
