l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.005022764205932617,1,0.0
1,2,1,0.010025978088378906,1,0.005995988845825195
1,3,1,0.0008006095886230469,1,0.0
1,4,1,0.011523962020874023,1,0.0
1,5,1,0.0,1,0.016437053680419922
1,6,1,0.016928911209106445,1,0.0
1,7,1,0.01643204689025879,1,0.017029523849487305
1,8,1,0.0,1,0.024105548858642578
1,9,1,0.003000020980834961,1,0.022978782653808594
1,10,1,0.0,1,0.016331195831298828
2,1,1,0.0,1,0.016898393630981445
2,2,1,0.0,1,0.015776395797729492
2,3,1,0.0030164718627929688,1,0.0
2,4,1,0.0,1,0.015802860260009766
2,5,1,0.003999233245849609,1,0.005001068115234375
2,6,1,0.003999233245849609,1,0.00789332389831543
2,7,1,0.0015034675598144531,1,0.010480642318725586
2,8,1,0.0,1,0.014802694320678711
2,9,1,0.0,1,0.03424334526062012
2,10,1,0.019030332565307617,1,0.032011985778808594
3,1,1,0.020495891571044922,1,0.0
3,2,1,0.011263370513916016,1,0.0
3,3,1,0.016931772232055664,1,0.0
3,4,1,0.0,1,0.021335601806640625
3,5,1,0.006000041961669922,1,0.0053560733795166016
3,6,1,0.0,1,0.0
3,7,1,0.005704641342163086,1,0.004915952682495117
3,8,1,0.007146358489990234,1,0.003511667251586914
3,9,1,0.0,1,0.01352238655090332
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.016371726989746094
4,2,1,0.0,1,0.0
4,3,1,0.018665313720703125,1,0.008998870849609375
4,4,1,0.006087779998779297,1,0.0
4,5,1,0.0,1,0.015023231506347656
4,6,1,0.0013942718505859375,1,0.0
4,7,1,0.0,1,0.016989469528198242
4,8,1,0.0039958953857421875,1,0.0025115013122558594
4,9,1,0.0,1,0.0095977783203125
4,10,1,0.0,1,0.0
5,1,1,0.016185522079467773,1,0.0010101795196533203
5,2,1,0.0,1,0.0
5,3,1,0.017974138259887695,1,0.003999948501586914
5,4,1,0.0030002593994140625,1,0.004000425338745117
5,5,1,0.001965761184692383,1,0.0
5,6,1,0.0,1,0.0164644718170166
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.01725602149963379
5,9,1,0.004998207092285156,1,0.0024454593658447266
5,10,1,0.0,1,0.008702993392944336
6,1,1,0.0,1,0.0
6,2,1,0.016167879104614258,1,0.004633426666259766
6,3,1,0.0,1,0.0
6,4,1,0.013403654098510742,1,0.007977008819580078
6,5,1,0.0059986114501953125,1,0.0018837451934814453
6,6,1,0.0,1,0.0
6,7,1,0.01674175262451172,1,0.0
6,8,1,0.0,1,0.016852855682373047
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.018033742904663086
7,1,1,0.002891063690185547,1,0.0
7,2,1,0.011762380599975586,1,0.0
7,3,1,0.015623092651367188,1,0.006392002105712891
7,4,1,0.003998517990112305,1,0.00505375862121582
7,5,1,0.0018033981323242188,1,0.0
7,6,1,0.016558170318603516,1,0.0
7,7,1,0.016541481018066406,1,0.0
7,8,1,0.0,1,0.017288923263549805
7,9,1,0.003996849060058594,1,0.004846811294555664
7,10,1,0.0,1,0.007517099380493164
8,1,1,0.0,1,0.0
8,2,1,0.004289865493774414,1,0.00500035285949707
8,3,1,0.0039997100830078125,1,0.004735708236694336
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.016796350479125977
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.018256187438964844
8,8,1,0.0,1,0.0
8,9,1,0.0152130126953125,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.017000675201416016,1,0.007204294204711914
9,2,1,0.0,1,0.010815620422363281
9,3,1,0.0029795169830322266,1,0.004987001419067383
9,4,1,0.0030050277709960938,1,0.0038797855377197266
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.01652812957763672
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016660213470458984
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.016843318939208984
10,1,1,0.0,1,0.0
10,2,1,0.017295122146606445,1,0.008955955505371094
10,3,1,0.006898403167724609,1,0.005639314651489258
10,4,1,0.00299072265625,1,0.00501251220703125
10,5,1,0.0031108856201171875,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0011663436889648438,1,0.0
10,8,1,0.0,1,0.016052722930908203
10,9,1,0.0005991458892822266,1,0.0
10,10,1,0.0,1,0.016104936599731445
