l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016431570053100586
1,2,1,0.0010030269622802734,1,0.002180337905883789
1,3,1,0.0,1,0.0014200210571289062
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.01391458511352539
1,8,1,0.0,1,0.0030012130737304688
1,9,1,0.0,1,0.0020012855529785156
1,10,1,0.0,1,0.0020093917846679688
2,1,1,0.0,1,0.00099945068359375
2,2,1,0.0010001659393310547,1,0.0
2,3,1,0.00099945068359375,1,0.0
2,4,1,0.0,1,0.0010001659393310547
2,5,1,0.0,1,0.0010013580322265625
2,6,1,0.0,1,0.0019021034240722656
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.0
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.015537500381469727
3,10,1,0.0,1,0.0004642009735107422
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.015156745910644531,1,0.0004687309265136719
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.015640974044799805
6,8,1,0.0,1,0.0019223690032958984
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.016089916229248047
8,2,1,0.0,1,0.001005411148071289
8,3,1,0.0,1,0.0009999275207519531
8,4,1,0.0,1,0.0010001659393310547
8,5,1,0.0,1,0.0010006427764892578
8,6,1,0.0,1,0.0009996891021728516
8,7,1,0.0,1,0.0009999275207519531
8,8,1,0.0,1,0.0009999275207519531
8,9,1,0.0,1,0.0009999275207519531
8,10,1,0.0,1,0.0009999275207519531
9,1,1,0.0,1,0.0009999275207519531
9,2,1,0.0,1,0.0010001659393310547
9,3,1,0.0,1,0.0010004043579101562
9,4,1,0.0,1,0.0010013580322265625
9,5,1,0.0,1,0.0007450580596923828
9,6,1,0.0,1,0.0010082721710205078
9,7,1,0.0,1,0.0009975433349609375
9,8,1,0.0,1,0.001001119613647461
9,9,1,0.0,1,0.0009996891021728516
9,10,1,0.0,1,0.000997304916381836
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.01007699966430664
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
