l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0
1,2,0,0.0,1,0.0
1,3,0,0.016353607177734375,1,0.0
1,4,0,0.0,1,0.0
1,5,0,0.015010833740234375,1,0.0014395713806152344
1,6,0,0.0,1,0.0
1,7,0,0.01550912857055664,1,0.0012941360473632812
1,8,0,0.0,1,0.01797199249267578
1,9,0,0.0014376640319824219,1,0.008054256439208984
1,10,0,0.0,1,0.009099721908569336
2,1,0,0.0009799003601074219,1,0.004008769989013672
2,2,0,0.001992464065551758,1,0.0031311511993408203
2,3,0,0.0013265609741210938,1,0.0
2,4,0,0.0,1,0.0
2,5,0,0.0,1,0.01409912109375
2,6,0,0.0020072460174560547,1,0.0008249282836914062
2,7,0,0.0,1,0.01648426055908203
2,8,0,0.0,1,0.01678633689880371
2,9,0,0.0,1,0.0201108455657959
2,10,0,0.0,1,0.031033039093017578
3,1,0,0.0,1,0.01729869842529297
3,2,0,0.0,1,0.015328168869018555
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.015886783599853516
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.016935110092163086
3,8,0,0.0,1,0.0
3,9,0,0.0,1,0.02416253089904785
3,10,0,0.0010006427764892578,1,0.017089366912841797
4,1,0,0.002000093460083008,1,0.002998828887939453
4,2,0,0.0019996166229248047,1,0.0010628700256347656
4,3,0,0.0,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.01678013801574707
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.0
4,8,0,0.0,1,0.0
4,9,0,0.0,1,0.015970706939697266
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.0
5,2,0,0.0,1,0.0
5,3,0,0.0012497901916503906,1,0.0
5,4,0,0.0,1,0.0
5,5,0,0.0,1,0.0
5,6,0,0.0,1,0.0019643306732177734
5,7,0,0.0,1,0.0
5,8,0,0.0,1,0.0
5,9,0,0.0,1,0.0
5,10,0,0.0,1,0.019661426544189453
6,1,0,0.0019996166229248047,1,0.0029997825622558594
6,2,0,0.002068758010864258,1,0.002047300338745117
6,3,0,0.0010001659393310547,1,0.005001544952392578
6,4,0,0.0010046958923339844,1,0.0029985904693603516
6,5,0,0.0019998550415039062,1,0.001081705093383789
6,6,0,0.0,1,0.0
6,7,0,0.0071258544921875,1,0.004834890365600586
6,8,0,0.0010006427764892578,1,0.002998828887939453
6,9,0,0.0010001659393310547,1,0.0019998550415039062
6,10,0,0.0009999275207519531,1,0.0032176971435546875
7,1,0,0.0,1,0.0
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.0
7,4,0,0.016962528228759766,1,9.512901306152344e-05
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.0
7,7,0,0.0,1,0.017287015914916992
7,8,0,0.0,1,0.0
7,9,0,0.0,1,0.0
7,10,0,0.0,1,0.0
8,1,0,0.01566028594970703,1,0.0028727054595947266
8,2,0,0.0,1,0.0
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.01272273063659668
8,5,0,0.0,1,0.0
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.015509605407714844,1,0.0011582374572753906
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.015521764755249023
9,2,0,0.001871347427368164,1,0.0
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.0
9,5,0,0.0,1,0.016544818878173828
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.01769852638244629
9,9,0,0.0009992122650146484,1,0.002999544143676758
9,10,0,0.0018413066864013672,1,0.0
10,1,0,0.0,1,0.0
10,2,0,0.003014802932739258,1,0.0027103424072265625
10,3,0,0.0,1,0.0
10,4,0,0.0,1,0.0
10,5,0,0.011896610260009766,1,0.0030138492584228516
10,6,0,0.0019991397857666016,1,0.002552509307861328
10,7,0,0.0010006427764892578,1,0.003080129623413086
10,8,0,0.001058340072631836,1,0.0050237178802490234
10,9,0,0.0009922981262207031,1,0.0029985904693603516
10,10,0,0.0009999275207519531,1,0.0030121803283691406
