l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.016353845596313477,1,0.005032777786254883
1,2,1,0.009999752044677734,1,0.006818056106567383
1,3,1,0.011925220489501953,1,0.015939950942993164
1,4,1,0.0,1,0.017079591751098633
1,5,1,0.023862361907958984,1,0.023880481719970703
1,6,1,0.008894681930541992,1,0.0249173641204834
1,7,1,0.0,1,0.03351902961730957
1,8,1,0.02420783042907715,1,0.03653120994567871
1,9,1,0.005919456481933594,1,0.03876638412475586
1,10,1,0.0175783634185791,1,0.04333019256591797
2,1,1,0.0016934871673583984,1,0.014729022979736328
2,2,1,0.01681065559387207,1,0.0
2,3,1,0.021183490753173828,1,0.006001472473144531
2,4,1,0.006072282791137695,1,0.0
2,5,1,0.025994062423706055,1,0.007414340972900391
2,6,1,0.016663074493408203,1,0.016655683517456055
2,7,1,0.029308795928955078,1,0.0417025089263916
2,8,1,0.0014278888702392578,1,0.05986428260803223
2,9,1,0.0009305477142333984,1,0.08464694023132324
2,10,1,0.008000373840332031,1,0.07924318313598633
3,1,1,0.016000747680664062,1,0.009998559951782227
3,2,1,0.0018148422241210938,1,0.015021324157714844
3,3,1,0.0005559921264648438,1,0.01688408851623535
3,4,1,0.0,1,0.01690506935119629
3,5,1,0.004638195037841797,1,0.011723518371582031
3,6,1,0.0,1,0.018332719802856445
3,7,1,0.011830568313598633,1,0.003083944320678711
3,8,1,0.0,1,0.016499042510986328
3,9,1,0.0,1,0.01680445671081543
3,10,1,0.020074129104614258,1,0.04062461853027344
4,1,1,0.00586390495300293,1,0.0
4,2,1,0.01665210723876953,1,0.0
4,3,1,0.016643285751342773,1,0.0
4,4,1,0.016843557357788086,1,0.0
4,5,1,0.018085956573486328,1,0.006505012512207031
4,6,1,0.012469053268432617,1,0.006000518798828125
4,7,1,0.007122039794921875,1,0.0
4,8,1,0.015840768814086914,1,0.00048351287841796875
4,9,1,0.0,1,0.016891956329345703
4,10,1,0.0,1,0.015018939971923828
5,1,1,0.0019316673278808594,1,0.015518903732299805
5,2,1,0.008097410202026367,1,0.013814926147460938
5,3,1,0.011867046356201172,1,0.0
5,4,1,0.016809701919555664,1,0.0
5,5,1,0.016801118850708008,1,0.0
5,6,1,0.016614913940429688,1,0.0
5,7,1,0.024289846420288086,1,0.010634899139404297
5,8,1,0.008610963821411133,1,0.006364107131958008
5,9,1,0.0,1,0.017754316329956055
5,10,1,0.0,1,0.015340328216552734
6,1,1,0.0,1,0.016575098037719727
6,2,1,0.0,1,0.016849040985107422
6,3,1,0.0,1,0.016069889068603516
6,4,1,0.005840301513671875,1,0.01081395149230957
6,5,1,0.01500701904296875,1,0.0011413097381591797
6,6,1,0.0,1,0.016618728637695312
6,7,1,0.0,1,0.01686263084411621
6,8,1,0.016530752182006836,1,0.0
6,9,1,0.0,1,0.020179271697998047
6,10,1,0.0004718303680419922,1,0.011683464050292969
7,1,1,0.0,1,0.016804218292236328
7,2,1,0.0,1,0.01674509048461914
7,3,1,0.017102479934692383,1,0.0
7,4,1,0.016207218170166016,1,0.0
7,5,1,0.021643400192260742,1,0.006000041961669922
7,6,1,0.011929512023925781,1,0.0
7,7,1,0.010355472564697266,1,0.016555070877075195
7,8,1,0.0,1,0.0
7,9,1,0.017037153244018555,1,0.015026569366455078
7,10,1,0.0014226436614990234,1,0.0
8,1,1,0.022621631622314453,1,0.0060007572174072266
8,2,1,0.011058330535888672,1,0.001249551773071289
8,3,1,0.008879899978637695,1,0.0
8,4,1,0.016651391983032227,1,0.0
8,5,1,0.016831398010253906,1,0.0
8,6,1,0.022701025009155273,1,0.0
8,7,1,0.01634526252746582,1,0.0060007572174072266
8,8,1,0.005002498626708984,1,0.0
8,9,1,0.02217841148376465,1,0.0007462501525878906
8,10,1,0.013692140579223633,1,0.0
9,1,1,0.013223409652709961,1,0.016782045364379883
9,2,1,0.0,1,0.018352508544921875
9,3,1,0.009998798370361328,1,0.0053327083587646484
9,4,1,0.0,1,0.016808509826660156
9,5,1,0.0051343441009521484,1,0.010827779769897461
9,6,1,0.0,1,0.01680922508239746
9,7,1,0.0,1,0.016609668731689453
9,8,1,0.0,1,0.01619410514831543
9,9,1,0.008038520812988281,1,0.005998373031616211
9,10,1,0.0028505325317382812,1,0.0
10,1,1,0.02192211151123047,1,0.0
10,2,1,0.0112457275390625,1,0.0
10,3,1,0.017267465591430664,1,0.015589714050292969
10,4,1,0.009053707122802734,1,0.0
10,5,1,0.01910877227783203,1,0.005679130554199219
10,6,1,0.0,1,0.01670670509338379
10,7,1,0.0,1,0.01550602912902832
10,8,1,0.006259441375732422,1,0.010831117630004883
10,9,1,0.0,1,0.0
10,10,1,0.01711869239807129,1,0.0
