l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0016908645629882812
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.016655445098876953
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0171816349029541
1,10,1,0.0,1,0.003601551055908203
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.011726617813110352
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.0
2,7,1,0.0,1,0.01654839515686035
2,8,1,0.0,1,0.006507158279418945
2,9,1,0.0,1,0.011015892028808594
2,10,1,0.0,1,0.007511615753173828
3,1,1,0.0,1,0.0019996166229248047
3,2,1,0.0009996891021728516,1,0.0009999275207519531
3,3,1,0.0,1,0.002000093460083008
3,4,1,0.0009999275207519531,1,0.0013737678527832031
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.01682901382446289
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.01655721664428711
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.015009641647338867
4,4,1,0.0,1,0.002017498016357422
4,5,1,0.0,1,0.0019996166229248047
4,6,1,0.0,1,0.0019996166229248047
4,7,1,0.0,1,0.0013234615325927734
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.004507541656494141
4,10,1,0.0,1,0.0
5,1,1,0.0044841766357421875,1,0.0
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.015007495880126953
5,9,1,0.0,1,0.0024466514587402344
5,10,1,0.0,1,0.0009996891021728516
6,1,1,0.0009999275207519531,1,0.0019998550415039062
6,2,1,0.0,1,0.003999471664428711
6,3,1,0.0009996891021728516,1,0.0029997825622558594
6,4,1,0.0010004043579101562,1,0.0022208690643310547
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.01624131202697754
7,3,1,0.00047087669372558594,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.016676664352416992
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.015006780624389648,1,0.004230022430419922
8,6,1,0.0,1,0.003001689910888672
8,7,1,0.0,1,0.0014753341674804688
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.009035587310791016
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0155181884765625
9,8,1,0.0,1,0.0019330978393554688
9,9,1,0.0,1,0.000997304916381836
9,10,1,0.0,1,0.0009999275207519531
10,1,1,0.0010008811950683594,1,0.0019986629486083984
10,2,1,0.0,1,0.0019996166229248047
10,3,1,0.0,1,0.0020036697387695312
10,4,1,0.0,1,0.002017974853515625
10,5,1,0.0,1,0.0019791126251220703
10,6,1,0.0,1,0.0019273757934570312
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
