l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.01620006561279297
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.017184019088745117
2,6,1,0.0,1,0.004997730255126953
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.0
2,9,1,0.0,1,0.009401082992553711
2,10,1,0.0,1,0.0
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.0,1,0.016206979751586914
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.015006303787231445
4,7,1,0.0,1,0.0011436939239501953
4,8,1,0.0,1,0.002043485641479492
4,9,1,0.0,1,0.0010008811950683594
4,10,1,0.0,1,0.0009989738464355469
5,1,1,0.0009999275207519531,1,0.0009999275207519531
5,2,1,0.0,1,0.0010004043579101562
5,3,1,0.0,1,0.0009999275207519531
5,4,1,0.0,1,0.0010001659393310547
5,5,1,0.0,1,0.0019996166229248047
5,6,1,0.0,1,0.0010001659393310547
5,7,1,0.0,1,0.0009999275207519531
5,8,1,0.0,1,0.0010001659393310547
5,9,1,0.0,1,0.0009312629699707031
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.015009403228759766
6,10,1,0.0,1,0.001585245132446289
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.01550912857055664
7,9,1,0.0,1,0.0016956329345703125
7,10,1,0.0,1,0.0019991397857666016
8,1,1,0.0010013580322265625,1,0.0019986629486083984
8,2,1,0.0,1,0.002302408218383789
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.008292675018310547
8,8,1,0.0,1,0.0005078315734863281
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016695737838745117
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.009506702423095703
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.006982326507568359
10,9,1,0.0,1,0.0020449161529541016
10,10,1,0.0,1,0.0016019344329833984
