l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.002000570297241211,1,0.003998994827270508
1,2,1,0.0011522769927978516,1,0.0
1,3,1,0.0,1,0.016124725341796875
1,4,1,0.0020012855529785156,1,0.0036246776580810547
1,5,1,0.0,1,0.011645078659057617
1,6,1,0.0,1,0.016498804092407227
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.02453446388244629
1,9,1,0.0020017623901367188,1,0.006975412368774414
1,10,1,0.0,1,0.016517162322998047
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.016217947006225586
2,3,1,0.0007603168487548828,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0178525447845459
2,6,1,0.002001047134399414,1,0.004080295562744141
2,7,1,0.0,1,0.009194135665893555
2,8,1,0.0,1,0.02628946304321289
2,9,1,0.0009992122650146484,1,0.005280017852783203
2,10,1,0.0013849735260009766,1,0.016560077667236328
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.01825428009033203
3,3,1,0.0020029544830322266,1,0.0015881061553955078
3,4,1,0.0,1,0.0
3,5,1,0.011639833450317383,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.013509035110473633,1,0.003793478012084961
3,8,1,0.0019996166229248047,1,0.003999471664428711
3,9,1,0.0010006427764892578,1,0.006471395492553711
3,10,1,0.00182342529296875,1,0.0
4,1,1,0.0,1,0.016341686248779297
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.016655921936035156
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.016790390014648438
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.019042491912841797
4,10,1,0.0029942989349365234,1,0.0023756027221679688
5,1,1,0.0072743892669677734,1,0.007005214691162109
5,2,1,0.004998683929443359,1,0.005228281021118164
5,3,1,0.0,1,0.0
5,4,1,0.0013751983642578125,1,0.0
5,5,1,0.0,1,0.01636648178100586
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.016136884689331055,1,0.0004916191101074219
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.01711416244506836
6,1,1,0.002000570297241211,1,0.003652334213256836
6,2,1,0.0,1,0.005513191223144531
6,3,1,0.005921602249145508,1,0.005492210388183594
6,4,1,0.0019974708557128906,1,0.003999233245849609
6,5,1,0.002000570297241211,1,0.0023250579833984375
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.016121387481689453
6,8,1,0.0014872550964355469,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0006859302520751953,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.016559600830078125,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0166776180267334
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0020751953125,1,0.003998517990112305
7,8,1,0.0009167194366455078,1,0.0
7,9,1,0.0,1,0.011335611343383789
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.016674041748046875,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.016722917556762695
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.01651906967163086,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.01680278778076172
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.019106149673461914
9,3,1,0.003000020980834961,1,0.0012764930725097656
9,4,1,0.0,1,0.008975744247436523
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.01680755615234375
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.014511346817016602,1,0.0020225048065185547
9,10,1,0.0,1,0.005510568618774414
10,1,1,0.0,1,0.0
10,2,1,0.011214256286621094,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.01641535758972168
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.0,1,0.019353866577148438
10,8,1,0.0030078887939453125,1,0.002036571502685547
10,9,1,0.0,1,0.008433341979980469
10,10,1,0.0004982948303222656,1,0.0
