l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.016170978546142578,1,0.0074176788330078125
1,2,0,0.022516727447509766,1,0.0035181045532226562
1,3,0,0.007368564605712891,1,0.016915082931518555
1,4,0,0.016704559326171875,1,0.0
1,5,0,0.017282724380493164,1,0.03220319747924805
1,6,0,0.019110918045043945,1,0.014390230178833008
1,7,0,0.017340898513793945,1,0.04528188705444336
1,8,0,0.0029973983764648438,1,0.05494284629821777
1,9,0,0.029099464416503906,1,0.06628179550170898
1,10,0,0.017333269119262695,1,0.04909467697143555
2,1,0,0.01673412322998047,1,0.0
2,2,0,0.03330183029174805,1,0.0
2,3,0,0.021320104598999023,1,0.018162012100219727
2,4,0,0.019242048263549805,1,0.00806117057800293
2,5,0,0.021064281463623047,1,0.0
2,6,0,0.02937173843383789,1,0.0
2,7,0,0.016927242279052734,1,0.01666736602783203
2,8,0,0.016932964324951172,1,0.0012230873107910156
2,9,0,0.015153169631958008,1,0.026757478713989258
2,10,0,0.022584199905395508,1,0.03668856620788574
3,1,0,0.014643669128417969,1,0.03670525550842285
3,2,0,0.0644073486328125,1,0.017001628875732422
3,3,0,0.020203351974487305,1,0.006998538970947266
3,4,0,0.01700139045715332,1,0.009093523025512695
3,5,0,0.02113819122314453,1,0.008998632431030273
3,6,0,0.01772761344909668,1,0.005999565124511719
3,7,0,0.015031576156616211,1,0.00814199447631836
3,8,0,0.01653265953063965,1,0.005999326705932617
3,9,0,0.01800084114074707,1,0.010358810424804688
3,10,0,0.02156519889831543,1,0.009081363677978516
4,1,0,0.01799774169921875,1,0.0069997310638427734
4,2,0,0.01541280746459961,1,0.006999969482421875
4,3,0,0.015000343322753906,1,0.006997585296630859
4,4,0,0.017034292221069336,1,0.006999969482421875
4,5,0,0.017999887466430664,1,0.008022785186767578
4,6,0,0.016976594924926758,1,0.007009744644165039
4,7,0,0.017047405242919922,1,0.00826716423034668
4,8,0,0.017241716384887695,1,0.0070002079010009766
4,9,0,0.014001131057739258,1,0.007990121841430664
4,10,0,0.01609635353088379,1,0.005101919174194336
5,1,0,0.011466026306152344,1,0.0
5,2,0,0.01661086082458496,1,0.0166165828704834
5,3,0,0.015017271041870117,1,0.0073316097259521484
5,4,0,0.01285552978515625,1,0.0
5,5,0,0.01378631591796875,1,0.016698360443115234
5,6,0,0.016650676727294922,1,0.0
5,7,0,0.016913652420043945,1,0.016350269317626953
5,8,0,0.005524158477783203,1,0.016797780990600586
5,9,0,0.011288642883300781,1,0.0
5,10,0,0.016437292098999023,1,0.016546010971069336
6,1,0,0.01686835289001465,1,0.0
6,2,0,0.016540050506591797,1,0.01579904556274414
6,3,0,0.01520848274230957,1,0.005156278610229492
6,4,0,0.013951539993286133,1,0.0
6,5,0,0.016610383987426758,1,0.0
6,6,0,0.028249025344848633,1,0.004998207092285156
6,7,0,0.01699519157409668,1,0.0
6,8,0,0.02625727653503418,1,0.00693821907043457
6,9,0,0.011578083038330078,1,0.0051076412200927734
6,10,0,0.016885995864868164,1,0.01665949821472168
7,1,0,0.041033029556274414,1,0.014174938201904297
7,2,0,0.028058767318725586,1,0.01543879508972168
7,3,0,0.018430709838867188,1,0.006998538970947266
7,4,0,0.011265277862548828,1,0.0
7,5,0,0.027570247650146484,1,0.0032088756561279297
7,6,0,0.017085790634155273,1,0.0
7,7,0,0.023935794830322266,1,0.009003639221191406
7,8,0,0.01665472984313965,1,0.0
7,9,0,0.025371313095092773,1,0.006997585296630859
7,10,0,0.008162975311279297,1,0.009735345840454102
8,1,0,0.0165865421295166,1,0.0
8,2,0,0.016463041305541992,1,0.016602754592895508
8,3,0,0.01717233657836914,1,0.007519245147705078
8,4,0,0.016991376876831055,1,0.007000446319580078
8,5,0,0.0004851818084716797,1,0.01651763916015625
8,6,0,0.01674652099609375,1,0.0
8,7,0,0.016635417938232422,1,0.017079830169677734
8,8,0,0.017766952514648438,1,0.0069658756256103516
8,9,0,0.015999794006347656,1,0.00599980354309082
8,10,0,0.01600050926208496,1,0.007999420166015625
9,1,0,0.015161275863647461,1,0.007152557373046875
9,2,0,0.015240192413330078,1,0.007008075714111328
9,3,0,0.018985271453857422,1,0.007203578948974609
9,4,0,0.009019851684570312,1,0.0
9,5,0,0.015974760055541992,1,0.016626834869384766
9,6,0,0.016541242599487305,1,0.0
9,7,0,0.017319679260253906,1,0.019747495651245117
9,8,0,0.02058267593383789,1,0.006999969482421875
9,9,0,0.00408172607421875,1,0.014652729034423828
9,10,0,0.016658544540405273,1,0.0
10,1,0,0.016695261001586914,1,0.015057563781738281
10,2,0,0.005340576171875,1,0.018427610397338867
10,3,0,0.015070438385009766,1,0.0
10,4,0,0.013067483901977539,1,0.0
10,5,0,0.016270160675048828,1,0.016607046127319336
10,6,0,0.026795625686645508,1,0.008033514022827148
10,7,0,0.017969131469726562,1,0.006999492645263672
10,8,0,0.017159700393676758,1,0.006742954254150391
10,9,0,0.013337373733520508,1,0.008241653442382812
10,10,0,0.018807411193847656,1,0.011995792388916016
