l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0019991397857666016,1,0.007999658584594727
1,2,0,0.001999378204345703,1,0.005011081695556641
1,3,0,0.0010008811950683594,1,0.012001276016235352
1,4,0,0.0019867420196533203,1,0.008678197860717773
1,5,0,0.0009999275207519531,1,0.005999088287353516
1,6,0,0.0010006427764892578,1,0.008352041244506836
1,7,0,0.0009996891021728516,1,0.0070035457611083984
1,8,0,0.0009963512420654297,1,0.008860588073730469
1,9,0,0.0009982585906982422,1,0.00699925422668457
1,10,0,0.0010042190551757812,1,0.00951695442199707
2,1,0,0.0009999275207519531,1,0.003000020980834961
2,2,0,0.0010001659393310547,1,0.003190279006958008
2,3,0,0.0019986629486083984,1,0.00430750846862793
2,4,0,0.0010094642639160156,1,0.006001949310302734
2,5,0,0.001992940902709961,1,0.008746147155761719
2,6,0,0.0009982585906982422,1,0.011755704879760742
2,7,0,0.0010023117065429688,1,0.014475345611572266
2,8,0,0.0010066032409667969,1,0.012997150421142578
2,9,0,0.0010023117065429688,1,0.01622939109802246
2,10,0,0.0,1,0.019059181213378906
3,1,0,0.0010004043579101562,1,0.003996372222900391
3,2,0,0.0010309219360351562,1,0.001996755599975586
3,3,0,0.0009996891021728516,1,0.0019998550415039062
3,4,0,0.0010004043579101562,1,0.004513978958129883
3,5,0,0.0010004043579101562,1,0.002328634262084961
3,6,0,0.00104522705078125,1,0.002797842025756836
3,7,0,0.0010449886322021484,1,0.009154796600341797
3,8,0,0.0009980201721191406,1,0.012816905975341797
3,9,0,0.001001119613647461,1,0.019998788833618164
3,10,0,0.001001119613647461,1,0.009998798370361328
4,1,0,0.0,1,0.016460657119750977
4,2,0,0.0,1,0.0
4,3,0,0.0,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.015202522277832031,1,0.004060029983520508
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.0
4,8,0,0.0,1,0.0
4,9,0,0.0,1,0.02036905288696289
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.012758731842041016
5,2,0,0.002045154571533203,1,0.0019998550415039062
5,3,0,0.0,1,0.0029997825622558594
5,4,0,0.0010001659393310547,1,0.0029997825622558594
5,5,0,0.0009999275207519531,1,0.001294851303100586
5,6,0,0.0,1,0.0
5,7,0,0.0,1,0.0
5,8,0,0.0,1,0.017668724060058594
5,9,0,0.0009915828704833984,1,0.001489400863647461
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.0
6,2,0,0.0,1,0.014479637145996094
6,3,0,0.0009965896606445312,1,0.0029990673065185547
6,4,0,0.0010004043579101562,1,0.0029997825622558594
6,5,0,0.0010001659393310547,1,0.003999948501586914
6,6,0,0.0009999275207519531,1,0.003000974655151367
6,7,0,0.0009996891021728516,1,0.003000020980834961
6,8,0,0.0,1,0.003000020980834961
6,9,0,8.940696716308594e-05,1,0.0
6,10,0,0.0,1,0.005786895751953125
7,1,0,0.0,1,0.0
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.01501011848449707
7,4,0,0.0016231536865234375,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.0,1,0.0
7,7,0,0.0,1,0.0159909725189209
7,8,0,0.0,1,0.0
7,9,0,0.0,1,0.0
7,10,0,0.0,1,0.0
8,1,0,0.0,1,0.0
8,2,0,0.0,1,0.018161773681640625
8,3,0,0.0010645389556884766,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.0
8,6,0,0.01088094711303711,1,0.0036668777465820312
8,7,0,0.0009961128234863281,1,0.0
8,8,0,0.0,1,0.0
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.0
9,1,0,0.015725135803222656,1,0.0
9,2,0,0.0,1,0.0
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.0
9,5,0,0.016669511795043945,1,0.0
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.0
9,8,0,0.0,1,0.0
9,9,0,0.0,1,0.016820192337036133
9,10,0,0.0,1,0.0
10,1,0,0.0,1,0.0
10,2,0,0.0,1,0.0
10,3,0,0.015390634536743164,1,0.0012977123260498047
10,4,0,0.0,1,0.0
10,5,0,0.0,1,0.0
10,6,0,0.015430212020874023,1,0.006005048751831055
10,7,0,0.0009999275207519531,1,0.002000093460083008
10,8,0,0.0012028217315673828,1,0.0
10,9,0,0.0,1,0.007875204086303711
10,10,0,0.0,1,0.0
