l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.005998373031616211,1,0.006888866424560547
1,2,1,0.0,1,0.016980409622192383
1,3,1,0.001153707504272461,1,0.015089750289916992
1,4,1,0.0,1,0.016839981079101562
1,5,1,0.0,1,0.016547203063964844
1,6,1,0.021193742752075195,1,0.01212000846862793
1,7,1,0.016772031784057617,1,0.016865253448486328
1,8,1,0.0,1,0.016281843185424805
1,9,1,0.016820430755615234,1,0.02142810821533203
1,10,1,0.011719465255737305,1,0.016681432723999023
2,1,1,0.01683497428894043,1,0.004461050033569336
2,2,1,0.011632204055786133,1,0.014914274215698242
2,3,1,0.0026721954345703125,1,0.0
2,4,1,0.023136377334594727,1,0.007997989654541016
2,5,1,0.00607752799987793,1,0.0
2,6,1,0.012395381927490234,1,0.0
2,7,1,0.016740798950195312,1,0.0
2,8,1,0.016487598419189453,1,0.0
2,9,1,0.016727924346923828,1,0.016609907150268555
2,10,1,0.006043672561645508,1,0.01803302764892578
3,1,1,0.0,1,0.009307146072387695
3,2,1,0.0,1,0.01672196388244629
3,3,1,0.0,1,0.016760587692260742
3,4,1,0.0,1,0.016588211059570312
3,5,1,0.0,1,0.01846623420715332
3,6,1,0.005948066711425781,1,0.008037805557250977
3,7,1,0.0005960464477539062,1,0.0
3,8,1,0.02093672752380371,1,0.0013027191162109375
3,9,1,0.011125326156616211,1,0.0
3,10,1,0.016351938247680664,1,0.0
4,1,1,0.0,1,0.016710519790649414
4,2,1,0.0,1,0.01951885223388672
4,3,1,0.006648063659667969,1,0.007322072982788086
4,4,1,0.0,1,0.015008687973022461
4,5,1,0.00788569450378418,1,0.00976705551147461
4,6,1,0.0,1,0.0
4,7,1,0.01656794548034668,1,0.0
4,8,1,0.01647019386291504,1,0.0
4,9,1,0.01640772819519043,1,0.007108449935913086
4,10,1,0.005992889404296875,1,0.0030248165130615234
5,1,1,0.0,1,0.01673579216003418
5,2,1,0.0,1,0.015957355499267578
5,3,1,0.007471323013305664,1,0.009729623794555664
5,4,1,0.0,1,0.0
5,5,1,0.01662611961364746,1,0.0
5,6,1,0.021988391876220703,1,0.008659601211547852
5,7,1,0.0029022693634033203,1,0.0
5,8,1,0.016575336456298828,1,0.0
5,9,1,0.01688694953918457,1,0.0
5,10,1,0.01987600326538086,1,0.0034601688385009766
6,1,1,0.009874820709228516,1,0.007102251052856445
6,2,1,0.009186983108520508,1,0.007121562957763672
6,3,1,0.0059130191802978516,1,0.0038971900939941406
6,4,1,0.0,1,0.016528844833374023
6,5,1,0.0,1,0.0
6,6,1,0.016942262649536133,1,0.0
6,7,1,0.021027326583862305,1,0.0030274391174316406
6,8,1,0.009098291397094727,1,0.011054754257202148
6,9,1,0.009458065032958984,1,0.008012056350708008
6,10,1,0.003836393356323242,1,0.0
7,1,1,0.016736984252929688,1,0.0
7,2,1,0.017426729202270508,1,0.007563352584838867
7,3,1,0.011721134185791016,1,0.0011854171752929688
7,4,1,0.012115955352783203,1,0.0
7,5,1,0.015072345733642578,1,0.007452964782714844
7,6,1,0.007937192916870117,1,0.0028700828552246094
7,7,1,0.0,1,0.016884565353393555
7,8,1,0.0,1,0.016339540481567383
7,9,1,0.0,1,0.0
7,10,1,0.01684403419494629,1,0.014559030532836914
8,1,1,0.0063817501068115234,1,0.011743545532226562
8,2,1,0.0061075687408447266,1,0.007999181747436523
8,3,1,0.0030558109283447266,1,0.0
8,4,1,0.01666712760925293,1,0.0
8,5,1,0.016410112380981445,1,0.0
8,6,1,0.01665210723876953,1,0.0
8,7,1,0.019198179244995117,1,0.0022509098052978516
8,8,1,0.013744115829467773,1,0.00905919075012207
8,9,1,0.005764961242675781,1,0.0
8,10,1,0.016803979873657227,1,0.0
9,1,1,0.0,1,0.016588211059570312
9,2,1,0.0,1,0.016547441482543945
9,3,1,0.0,1,0.01500701904296875
9,4,1,0.006231784820556641,1,0.0
9,5,1,0.01632547378540039,1,0.007998943328857422
9,6,1,0.00468897819519043,1,0.0
9,7,1,0.015945911407470703,1,0.0005984306335449219
9,8,1,0.0,1,0.01656818389892578
9,9,1,0.0,1,0.01665782928466797
9,10,1,0.0,1,0.021266937255859375
10,1,1,0.0,1,0.01438140869140625
10,2,1,0.0060007572174072266,1,0.007383823394775391
10,3,1,0.0,1,0.0
10,4,1,0.0166015625,1,0.0
10,5,1,0.01680588722229004,1,0.016471147537231445
10,6,1,0.0,1,0.015027046203613281
10,7,1,0.0019333362579345703,1,0.0
10,8,1,0.017946720123291016,1,0.0029251575469970703
10,9,1,0.011787652969360352,1,0.0007252693176269531
10,10,1,0.0,1,0.016354084014892578
