l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.008833885192871094
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0185089111328125
1,4,1,0.001997709274291992,1,0.0050008296966552734
1,5,1,0.0019991397857666016,1,0.005998373031616211
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.016525983810424805
1,8,1,0.0,1,0.015631914138793945
1,9,1,0.0005297660827636719,1,0.0
1,10,1,0.0,1,0.018203258514404297
2,1,1,0.0019996166229248047,1,0.0009918212890625
2,2,1,0.0,1,0.0
2,3,1,0.010624170303344727,1,0.0006113052368164062
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.01952981948852539
2,7,1,0.0010001659393310547,1,0.008999347686767578
2,8,1,0.0010008811950683594,1,0.005551815032958984
2,9,1,0.0,1,0.029611587524414062
2,10,1,0.0,1,0.016658544540405273
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.01804184913635254
3,4,1,0.002998828887939453,1,0.003447294235229492
3,5,1,0.0,1,0.0
3,6,1,0.008632183074951172,1,0.0030469894409179688
3,7,1,0.001508951187133789,1,0.0030035972595214844
3,8,1,0.0010004043579101562,1,0.0029997825622558594
3,9,1,0.0010001659393310547,1,0.0033392906188964844
3,10,1,0.0,1,0.0
4,1,1,0.01658940315246582,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.017816543579101562,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.014014720916748047
4,7,1,0.0014414787292480469,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.018198490142822266,1,0.003998756408691406
5,2,1,0.0003457069396972656,1,0.0
5,3,1,0.0,1,0.010692596435546875
5,4,1,0.001996755599975586,1,0.002999544143676758
5,5,1,0.0010008811950683594,1,0.003003358840942383
5,6,1,0.0020062923431396484,1,0.0029897689819335938
5,7,1,0.0018956661224365234,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.015021800994873047
6,1,1,0.001514434814453125,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.01618361473083496,1,0.0005288124084472656
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.0
6,7,1,0.0,1,0.0168154239654541
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.016002178192138672,1,0.0005054473876953125
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.018119335174560547
7,5,1,0.0019996166229248047,1,0.0026061534881591797
7,6,1,0.0,1,0.003564119338989258
7,7,1,0.0,1,0.006989717483520508
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.016922473907470703,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.016498327255249023
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.016747236251831055,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.016666412353515625
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.008559942245483398
9,4,1,0.0,1,0.0
9,5,1,0.007464170455932617,1,0.003002643585205078
9,6,1,0.001997232437133789,1,0.0005729198455810547
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.011533260345458984
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0168917179107666
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.015059947967529297
10,6,1,0.0004634857177734375,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.015626907348632812
10,10,1,0.0009675025939941406,1,0.0
