l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016202926635742188
1,2,1,0.005011081695556641,1,0.006005048751831055
1,3,1,0.005627632141113281,1,0.00688934326171875
1,4,1,0.0,1,0.006005287170410156
1,5,1,0.0,1,0.01680278778076172
1,6,1,0.008533000946044922,1,0.02413773536682129
1,7,1,0.0,1,0.01727461814880371
1,8,1,0.0029773712158203125,1,0.012369871139526367
1,9,1,0.005000591278076172,1,0.012202739715576172
1,10,1,0.008613824844360352,1,0.007990598678588867
2,1,1,0.0,1,0.01693415641784668
2,2,1,0.0,1,0.0
2,3,1,0.01592874526977539,1,0.0005786418914794922
2,4,1,0.0,1,0.0
2,5,1,0.018508434295654297,1,0.005000114440917969
2,6,1,0.003000497817993164,1,0.00526738166809082
2,7,1,0.0005185604095458984,1,0.0
2,8,1,0.015006780624389648,1,0.018316984176635742
2,9,1,0.0,1,0.03342604637145996
2,10,1,0.0,1,0.05338883399963379
3,1,1,0.00410008430480957,1,0.008001089096069336
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0222928524017334
3,4,1,0.0,1,0.011648893356323242
3,5,1,0.00625157356262207,1,0.005000591278076172
3,6,1,0.004823923110961914,1,0.007005453109741211
3,7,1,0.005994558334350586,1,0.003228425979614258
3,8,1,0.0,1,0.017706871032714844
3,9,1,0.00500035285949707,1,0.0005309581756591797
3,10,1,0.008543729782104492,1,0.0
4,1,1,0.0,1,0.01677536964416504
4,2,1,0.0,1,0.016611576080322266
4,3,1,0.0,1,0.01551675796508789
4,4,1,0.0062754154205322266,1,0.006999969482421875
4,5,1,0.005168914794921875,1,0.0
4,6,1,0.015345096588134766,1,0.0
4,7,1,0.0,1,0.016264677047729492
4,8,1,0.006000041961669922,1,0.0024678707122802734
4,9,1,0.00770878791809082,1,0.0
4,10,1,0.0,1,0.016774654388427734
5,1,1,0.0,1,0.0
5,2,1,0.01728987693786621,1,0.0055124759674072266
5,3,1,0.0039997100830078125,1,0.005853176116943359
5,4,1,0.0008044242858886719,1,0.0
5,5,1,0.01795482635498047,1,0.0
5,6,1,0.016858816146850586,1,0.007000446319580078
5,7,1,0.0008261203765869141,1,0.007230043411254883
5,8,1,0.0,1,0.0
5,9,1,0.016623497009277344,1,0.0
5,10,1,0.0,1,0.015007972717285156
6,1,1,0.004370689392089844,1,0.004999876022338867
6,2,1,0.003999471664428711,1,0.0040247440338134766
6,3,1,0.0,1,0.0
6,4,1,0.016028881072998047,1,0.0005145072937011719
6,5,1,0.0,1,0.015508413314819336
6,6,1,0.001203298568725586,1,0.0
6,7,1,0.0,1,0.0226590633392334
6,8,1,0.0,1,0.010556697845458984
6,9,1,0.0,1,0.0
6,10,1,0.018456220626831055,1,0.006031513214111328
7,1,1,0.004085540771484375,1,0.005029439926147461
7,2,1,0.0,1,0.0
7,3,1,0.015015363693237305,1,0.0014989376068115234
7,4,1,0.0,1,0.0
7,5,1,0.01660943031311035,1,0.0
7,6,1,0.0,1,0.017133474349975586
7,7,1,0.0070188045501708984,1,0.0008633136749267578
7,8,1,0.008394718170166016,1,0.0
7,9,1,0.0090179443359375,1,0.006517171859741211
7,10,1,0.0027799606323242188,1,0.0050051212310791016
8,1,1,0.003999233245849609,1,0.0048291683197021484
8,2,1,0.000492095947265625,1,0.0
8,3,1,0.0,1,0.016303300857543945
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.016661405563354492
8,6,1,0.0,1,0.0
8,7,1,0.016755104064941406,1,0.0
8,8,1,0.0,1,0.016037464141845703
8,9,1,0.005995273590087891,1,0.0016071796417236328
8,10,1,0.0,1,0.012500524520874023
9,1,1,0.0039882659912109375,1,0.005002737045288086
9,2,1,0.0038018226623535156,1,0.0
9,3,1,0.0,1,0.016623258590698242
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.016603469848632812
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.016860485076904297
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.016612768173217773
9,10,1,0.0,1,0.0
10,1,1,0.015011072158813477,1,0.005012989044189453
10,2,1,0.0017580986022949219,1,0.0
10,3,1,0.010858774185180664,1,0.0006678104400634766
10,4,1,0.0,1,0.016582250595092773
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.01677680015563965
10,7,1,0.0,1,0.015665769577026367
10,8,1,0.0009722709655761719,1,0.0
10,9,1,0.0,1,0.016881942749023438
10,10,1,0.0,1,0.0
