l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.016633033752441406
1,2,1,0.0,1,0.0
1,3,1,0.016457319259643555,1,0.0
1,4,1,0.0,1,0.016652822494506836
1,5,1,0.01664280891418457,1,0.02031230926513672
1,6,1,0.004589080810546875,1,0.025313377380371094
1,7,1,0.0,1,0.016780853271484375
1,8,1,0.016538619995117188,1,0.016803979873657227
1,9,1,0.0,1,0.03331279754638672
1,10,1,0.0,1,0.032628774642944336
2,1,1,0.0,1,0.0
2,2,1,0.01684093475341797,1,0.0
2,3,1,0.016495227813720703,1,0.01613926887512207
2,4,1,0.0060062408447265625,1,0.0021660327911376953
2,5,1,0.009253501892089844,1,0.0
2,6,1,0.016561269760131836,1,0.0
2,7,1,0.01501774787902832,1,0.019002676010131836
2,8,1,0.008956193923950195,1,0.0379025936126709
2,9,1,0.0047914981842041016,1,0.030872344970703125
2,10,1,0.015510797500610352,1,0.06784176826477051
3,1,1,0.016849756240844727,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.016430139541625977,1,0.0
3,4,1,0.0,1,0.0
3,5,1,0.01664137840270996,1,0.0
3,6,1,0.0,1,0.0
3,7,1,0.01859116554260254,1,0.003003358840942383
3,8,1,0.0026047229766845703,1,0.004606723785400391
3,9,1,0.003155231475830078,1,0.0007071495056152344
3,10,1,0.0,1,0.023819446563720703
4,1,1,0.0,1,0.009300470352172852
4,2,1,0.0,1,0.015999555587768555
4,3,1,0.0007262229919433594,1,0.0
4,4,1,0.0,1,0.016511917114257812
4,5,1,0.0,1,0.0
4,6,1,0.009511470794677734,1,0.006878852844238281
4,7,1,0.004036664962768555,1,0.003000497817993164
4,8,1,0.003999471664428711,1,0.003041505813598633
4,9,1,0.003107309341430664,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.016947031021118164,1,0.004246950149536133
5,2,1,0.0,1,0.01222991943359375
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.016416549682617188
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.016686201095581055
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.01633143424987793
5,9,1,0.0030939579010009766,1,0.003998279571533203
5,10,1,0.003007650375366211,1,0.0029850006103515625
6,1,1,0.0031371116638183594,1,0.0
6,2,1,0.0,1,0.016065359115600586
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.016945838928222656
6,5,1,0.005216836929321289,1,0.003511667251586914
6,6,1,0.007544040679931641,1,0.0
6,7,1,0.0,1,0.016563892364501953
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.017455101013183594
6,10,1,0.0030078887939453125,1,0.0029985904693603516
7,1,1,0.004996061325073242,1,0.003007173538208008
7,2,1,0.0008578300476074219,1,0.0
7,3,1,0.016769886016845703,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.01915574073791504,1,0.00542140007019043
7,6,1,0.0,1,0.009439706802368164
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.01597309112548828
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.01634502410888672
8,1,1,0.005079030990600586,1,0.003008604049682617
8,2,1,0.004004716873168945,1,0.0028228759765625
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.01671600341796875
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.01659560203552246
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.016150236129760742
8,9,1,0.006002902984619141,1,0.0021784305572509766
8,10,1,0.0,1,0.009044885635375977
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.01851797103881836
9,3,1,0.004984855651855469,1,0.0030088424682617188
9,4,1,0.0040111541748046875,1,0.0027875900268554688
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.01662755012512207
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0156705379486084
9,9,1,0.0006554126739501953,1,0.0
9,10,1,0.016039133071899414,1,0.0040056705474853516
10,1,1,0.0015840530395507812,1,0.0
10,2,1,0.011489629745483398,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.018561840057373047,1,0.004029989242553711
10,5,1,0.004000186920166016,1,0.002992391586303711
10,6,1,0.0038280487060546875,1,0.0
10,7,1,0.0,1,0.0
10,8,1,0.016142606735229492,1,0.0005583763122558594
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.016499042510986328
