l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.015010595321655273
1,2,1,0.0015876293182373047,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.01979231834411621
1,5,1,0.002003908157348633,1,0.00700068473815918
1,6,1,0.002000093460083008,1,0.002455472946166992
1,7,1,0.0,1,0.015508890151977539
1,8,1,0.0010037422180175781,1,0.007344722747802734
1,9,1,0.0,1,0.009057760238647461
1,10,1,0.0,1,0.016412019729614258
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.015518665313720703
2,3,1,0.0013844966888427734,1,0.0
2,4,1,0.0,1,0.01823568344116211
2,5,1,0.002999544143676758,1,0.003000020980834961
2,6,1,0.0020198822021484375,1,0.006070375442504883
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.02479243278503418
2,9,1,0.0,1,0.008450508117675781
2,10,1,0.0,1,0.016935110092163086
3,1,1,0.0,1,0.0
3,2,1,0.01231837272644043,1,0.004102468490600586
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.015010833740234375
3,5,1,0.0023245811462402344,1,0.003997325897216797
3,6,1,0.0010008811950683594,1,0.004004716873168945
3,7,1,0.0019996166229248047,1,0.0038492679595947266
3,8,1,0.0,1,0.0
3,9,1,0.0,1,0.0
3,10,1,0.01501011848449707,1,0.0017189979553222656
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.016041278839111328
4,3,1,0.0030155181884765625,1,0.0026776790618896484
4,4,1,0.0,1,0.0
4,5,1,0.01097249984741211,1,0.0052678585052490234
4,6,1,0.002108335494995117,1,0.0
4,7,1,0.0,1,0.012633085250854492
4,8,1,0.0018413066864013672,1,0.010058879852294922
4,9,1,0.0018091201782226562,1,0.003999233245849609
4,10,1,0.0019998550415039062,1,0.003000020980834961
5,1,1,0.0035140514373779297,1,0.00347900390625
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0015494823455810547,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.01814103126525879
5,7,1,0.0019991397857666016,1,0.0025141239166259766
5,8,1,0.0,1,0.0
5,9,1,0.010112524032592773,1,0.0005092620849609375
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.01615619659423828
6,2,1,0.0004661083221435547,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.018416404724121094
6,5,1,0.0020017623901367188,1,0.00400996208190918
6,6,1,0.0019996166229248047,1,0.002999544143676758
6,7,1,0.001989603042602539,1,0.0009570121765136719
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.016173124313354492,1,0.0007059574127197266
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.016542911529541016
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.019229412078857422
7,6,1,0.002627849578857422,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0005388259887695312,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.016257762908935547
8,1,1,0.003090381622314453,1,0.003992557525634766
8,2,1,0.003004789352416992,1,0.0030846595764160156
8,3,1,0.002188444137573242,1,0.0005066394805908203
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.016782522201538086
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.016801118850708008
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.015872478485107422,1,0.004044294357299805
9,2,1,0.0013475418090820312,1,0.0
9,3,1,0.0,1,0.01242971420288086
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.01480865478515625
9,6,1,0.003066539764404297,1,0.004003047943115234
9,7,1,0.002029895782470703,1,0.004003286361694336
9,8,1,0.0019714832305908203,1,0.0018820762634277344
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.015051603317260742,1,0.001772165298461914
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.016698360443115234,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.015064716339111328
10,7,1,0.0015687942504882812,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.015063285827636719
10,10,1,0.0030913352966308594,1,0.005006074905395508
