l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.016806602478027344
1,5,1,0.0,1,0.0
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.0
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0007178783416748047
2,6,1,0.0,1,0.0010001659393310547
2,7,1,0.0,1,0.0009996891021728516
2,8,1,0.0,1,0.0010004043579101562
2,9,1,0.0,1,0.00099945068359375
2,10,1,0.0,1,0.0019998550415039062
3,1,1,0.0,1,0.0010006427764892578
3,2,1,0.0,1,0.0009999275207519531
3,3,1,0.0,1,0.0009996891021728516
3,4,1,0.0,1,0.0010006427764892578
3,5,1,0.0,1,0.0
3,6,1,0.0,1,0.0010001659393310547
3,7,1,0.0,1,0.0009999275207519531
3,8,1,0.0,1,0.0013799667358398438
3,9,1,0.0,1,0.0006697177886962891
3,10,1,0.0,1,0.0
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.0,1,0.0
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0145111083984375
5,2,1,0.0,1,0.0013878345489501953
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.0,1,0.0
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.015625476837158203
6,7,1,0.0,1,0.0015788078308105469
6,8,1,0.0,1,0.0009989738464355469
6,9,1,0.0,1,0.0010006427764892578
6,10,1,0.0,1,0.0009989738464355469
7,1,1,0.0,1,0.001791238784790039
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.0
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.010951519012451172
8,1,1,0.0005412101745605469,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.0
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.0
8,8,1,0.0,1,0.0
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.01551055908203125
9,4,1,0.0,1,0.0011525154113769531
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.0,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.0,1,0.016063928604125977
10,7,1,0.0,1,0.0014345645904541016
10,8,1,0.0,1,0.0020017623901367188
10,9,1,0.0,1,0.0010001659393310547
10,10,1,0.0,1,0.0009987354278564453
