l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.01663041114807129
1,2,1,0.0,1,0.0
1,3,1,0.0,1,0.01678943634033203
1,4,1,0.0,1,0.018304109573364258
1,5,1,0.0019998550415039062,1,0.007515430450439453
1,6,1,0.0019998550415039062,1,0.0037500858306884766
1,7,1,0.0,1,0.015021562576293945
1,8,1,0.0010044574737548828,1,0.0064239501953125
1,9,1,0.0,1,0.009758710861206055
1,10,1,0.0,1,0.015647172927856445
2,1,1,0.0009822845458984375,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.0
2,4,1,0.0,1,0.016768217086791992
2,5,1,0.0,1,0.0
2,6,1,0.015510320663452148,1,0.01785135269165039
2,7,1,0.0,1,0.033397674560546875
2,8,1,0.0,1,0.05363821983337402
2,9,1,0.0009953975677490234,1,0.02859210968017578
2,10,1,0.0,1,0.049967050552368164
3,1,1,0.0038683414459228516,1,0.0007929801940917969
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.012109756469726562
3,4,1,0.002002239227294922,1,0.004762887954711914
3,5,1,0.0010001659393310547,1,0.003000020980834961
3,6,1,0.001999378204345703,1,0.0024178028106689453
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.0335392951965332
3,9,1,0.0,1,0.08289957046508789
3,10,1,0.0,1,0.11696839332580566
4,1,1,0.016052961349487305,1,0.0030066967010498047
4,2,1,0.0024673938751220703,1,0.0
4,3,1,0.0,1,0.0
4,4,1,0.0,1,0.011596202850341797
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.017612934112548828
4,8,1,0.0019986629486083984,1,0.002512693405151367
4,9,1,0.0019996166229248047,1,0.0069997310638427734
4,10,1,0.0010006427764892578,1,0.0012941360473632812
5,1,1,0.015631675720214844,1,0.0011396408081054688
5,2,1,0.0,1,0.0
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.016622066497802734
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.0,1,0.0
5,8,1,0.016087770462036133,1,0.0030150413513183594
5,9,1,0.0009908676147460938,1,0.003998279571533203
5,10,1,0.0,1,0.0
6,1,1,0.0,1,0.009109258651733398
6,2,1,0.0,1,0.0
6,3,1,0.0,1,0.016595125198364258
6,4,1,0.001003265380859375,1,0.002996683120727539
6,5,1,0.002002239227294922,1,0.0030002593994140625
6,6,1,0.001999378204345703,1,0.002000570297241211
6,7,1,0.0009999275207519531,1,0.0020165443420410156
6,8,1,0.0,1,0.0
6,9,1,0.0,1,0.0
6,10,1,0.0,1,0.0
7,1,1,0.016572952270507812,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.016536951065063477
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.016137123107910156,1,0.0006730556488037109
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.016007184982299805
8,2,1,0.0030031204223632812,1,0.005148172378540039
8,3,1,0.0,1,0.0
8,4,1,0.0,1,0.009847402572631836
8,5,1,0.0019989013671875,1,0.003000974655151367
8,6,1,0.0009996891021728516,1,0.003000020980834961
8,7,1,0.001999378204345703,1,0.003000497817993164
8,8,1,0.0014905929565429688,1,0.0005052089691162109
8,9,1,0.0,1,0.0
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.016588449478149414
9,2,1,0.0,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.01552128791809082
9,5,1,0.0010101795196533203,1,0.0
9,6,1,0.0,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.016925573348999023
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.0
10,2,1,0.01667308807373047,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.018174171447753906
10,6,1,0.0009629726409912109,1,0.0030312538146972656
10,7,1,0.0025107860565185547,1,0.0
10,8,1,0.0,1,0.00867462158203125
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
