l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0
1,2,0,0.0,1,0.015511751174926758
1,3,0,0.0008540153503417969,1,0.0
1,4,0,0.0,1,0.016222238540649414
1,5,0,0.0,1,0.019846439361572266
1,6,0,0.0,1,0.01697993278503418
1,7,0,0.0025069713592529297,1,0.012126684188842773
1,8,0,0.003000020980834961,1,0.014127969741821289
1,9,0,0.0020029544830322266,1,0.016511917114257812
1,10,0,0.002000093460083008,1,0.016196489334106445
2,1,0,0.0,1,0.00983881950378418
2,2,0,0.006012916564941406,1,0.004463672637939453
2,3,0,0.005955934524536133,1,0.0
2,4,0,0.0,1,0.01697540283203125
2,5,0,0.0,1,0.0
2,6,0,0.0,1,0.016184568405151367
2,7,0,0.0,1,0.016577720642089844
2,8,0,0.0,1,0.016777992248535156
2,9,0,0.0,1,0.016608715057373047
2,10,0,0.0,1,0.019837141036987305
3,1,0,0.019030094146728516,1,0.0
3,2,0,0.0,1,0.010626792907714844
3,3,0,0.0061457157135009766,1,0.004000186920166016
3,4,0,0.0029993057250976562,1,0.004001617431640625
3,5,0,0.004998207092285156,1,0.00400090217590332
3,6,0,0.00310516357421875,1,0.004817485809326172
3,7,0,0.0,1,0.0
3,8,0,0.0,1,0.0
3,9,0,0.015021562576293945,1,0.0016410350799560547
3,10,0,0.0,1,0.01648426055908203
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.0
4,3,0,0.02008342742919922,1,0.00020456314086914062
4,4,0,0.0,1,0.0
4,5,0,0.012996673583984375,1,0.0
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.016907453536987305
4,8,0,0.0,1,0.0
4,9,0,0.0,1,0.0
4,10,0,0.015056133270263672,1,0.0015528202056884766
5,1,0,0.0,1,0.0
5,2,0,0.01653885841369629,1,0.0
5,3,0,0.0,1,0.0
5,4,0,0.0,1,0.01665210723876953
5,5,0,0.0,1,0.0
5,6,0,0.0,1,0.015520572662353516
5,7,0,0.0,1,0.0
5,8,0,0.00959920883178711,1,0.0
5,9,0,0.00824737548828125,1,0.0
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.01694202423095703
6,2,0,0.004068613052368164,1,0.003998517990112305
6,3,0,0.0029878616333007812,1,0.004195451736450195
6,4,0,0.004000663757324219,1,0.004020214080810547
6,5,0,0.003995180130004883,1,0.00313568115234375
6,6,0,0.0027496814727783203,1,0.0
6,7,0,0.0,1,0.01672983169555664
6,8,0,0.0,1,0.0
6,9,0,0.016598224639892578,1,0.0
6,10,0,0.0,1,0.0
7,1,0,0.014025211334228516,1,0.00399327278137207
7,2,0,0.0015594959259033203,1,0.0
7,3,0,0.0,1,0.0
7,4,0,0.013621330261230469,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.015516042709350586,1,0.0031495094299316406
7,7,0,0.0019998550415039062,1,0.0041103363037109375
7,8,0,0.0019996166229248047,1,0.004003763198852539
7,9,0,0.0039975643157958984,1,0.002999544143676758
7,10,0,0.0010952949523925781,1,0.0
8,1,0,0.0,1,0.01016545295715332
8,2,0,0.0,1,0.0
8,3,0,0.0,1,0.015080928802490234
8,4,0,0.003002166748046875,1,0.004013776779174805
8,5,0,0.0013561248779296875,1,0.0
8,6,0,0.00931096076965332,1,0.0048372745513916016
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.012491464614868164
8,9,0,0.0,1,0.0
8,10,0,0.0,1,0.01504659652709961
9,1,0,0.0015034675598144531,1,0.0
9,2,0,0.0,1,0.01555943489074707
9,3,0,0.004142045974731445,1,0.005006074905395508
9,4,0,0.002996206283569336,1,0.004004478454589844
9,5,0,0.0014166831970214844,1,0.0
9,6,0,0.0,1,0.0
9,7,0,0.016778945922851562,1,0.0
9,8,0,0.0,1,0.010053873062133789
9,9,0,0.0,1,0.007927656173706055
9,10,0,0.0012195110321044922,1,0.0
10,1,0,0.0,1,0.013392448425292969
10,2,0,0.0006189346313476562,1,0.0
10,3,0,0.0,1,0.0
10,4,0,0.01684737205505371,1,0.0
10,5,0,0.0,1,0.0
10,6,0,0.0,1,0.01779007911682129
10,7,0,0.003024578094482422,1,0.0029976367950439453
10,8,0,0.0021293163299560547,1,0.0031158924102783203
10,9,0,0.004042148590087891,1,0.0029234886169433594
10,10,0,0.002010345458984375,1,0.0032134056091308594
