l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.014682292938232422
1,2,0,0.0,1,0.015862226486206055
1,3,0,0.0,1,0.022344350814819336
1,4,0,0.0029900074005126953,1,0.024190425872802734
1,5,0,0.0,1,0.03254842758178711
1,6,0,0.0,1,0.029323577880859375
1,7,0,0.00801992416381836,1,0.013054847717285156
1,8,0,0.01595139503479004,1,0.034570932388305664
1,9,0,0.019283533096313477,1,0.04006838798522949
1,10,0,0.007639884948730469,1,0.048453569412231445
2,1,0,0.0,1,0.015806913375854492
2,2,0,0.0,1,0.0
2,3,0,0.026755809783935547,1,0.0039997100830078125
2,4,0,0.006001949310302734,1,0.0
2,5,0,0.015122175216674805,1,0.0
2,6,0,0.014892101287841797,1,0.0343625545501709
2,7,0,0.0,1,0.04900956153869629
2,8,0,0.0,1,0.0665278434753418
2,9,0,0.0,1,0.08333301544189453
2,10,0,0.0,1,0.0983731746673584
3,1,0,0.0008594989776611328,1,0.011011838912963867
3,2,0,0.0059702396392822266,1,0.0
3,3,0,0.0,1,0.018617630004882812
3,4,0,0.0,1,0.015882253646850586
3,5,0,0.008526086807250977,1,0.003000020980834961
3,6,0,0.009163856506347656,1,0.003999471664428711
3,7,0,0.004999876022338867,1,0.0022068023681640625
3,8,0,0.0,1,0.03751063346862793
3,9,0,0.0050106048583984375,1,0.026086807250976562
3,10,0,0.003998994827270508,1,0.04138755798339844
4,1,0,0.0016036033630371094,1,0.0
4,2,0,0.016612768173217773,1,0.0
4,3,0,0.016780853271484375,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.005528688430786133,1,0.0
4,6,0,0.011842012405395508,1,0.004612922668457031
4,7,0,0.004998683929443359,1,0.0010509490966796875
4,8,0,0.01241445541381836,1,0.003008127212524414
4,9,0,0.004000425338745117,1,0.006055593490600586
4,10,0,0.004023075103759766,1,0.0030002593994140625
5,1,0,0.007103443145751953,1,0.0
5,2,0,0.0,1,0.015032529830932617
5,3,0,0.0010073184967041016,1,0.0
5,4,0,0.01702284812927246,1,0.0
5,5,0,0.0,1,0.017363786697387695
5,6,0,0.006087303161621094,1,0.004010438919067383
5,7,0,0.007058143615722656,1,0.0
5,8,0,0.0,1,0.0
5,9,0,0.001135110855102539,1,0.0
5,10,0,0.01450800895690918,1,0.006997585296630859
6,1,0,0.007005453109741211,1,0.0051288604736328125
6,2,0,0.0,1,0.0
6,3,0,0.016352415084838867,1,0.0
6,4,0,0.0,1,0.01755976676940918
6,5,0,0.00299835205078125,1,0.0
6,6,0,0.017497777938842773,1,0.003998756408691406
6,7,0,0.0030755996704101562,1,0.007724285125732422
6,8,0,0.0,1,0.0
6,9,0,0.01366114616394043,1,0.0020117759704589844
6,10,0,0.0,1,0.0
7,1,0,0.015231847763061523,1,0.0
7,2,0,0.016057968139648438,1,0.0
7,3,0,0.0,1,0.01572704315185547
7,4,0,0.004978179931640625,1,0.0
7,5,0,0.015372991561889648,1,0.0041561126708984375
7,6,0,0.004998683929443359,1,0.005003452301025391
7,7,0,0.0060062408447265625,1,0.003994464874267578
7,8,0,0.0040013790130615234,1,0.006076812744140625
7,9,0,0.005001544952392578,1,0.003003835678100586
7,10,0,0.0049974918365478516,1,0.0029997825622558594
8,1,0,0.015475273132324219,1,0.0
8,2,0,0.0,1,0.014964580535888672
8,3,0,0.0,1,0.0
8,4,0,0.020416259765625,1,0.0
8,5,0,0.0,1,0.01498270034790039
8,6,0,0.0,1,0.0
8,7,0,0.01458883285522461,1,0.0
8,8,0,0.017495155334472656,1,0.0043408870697021484
8,9,0,0.004999876022338867,1,0.0030002593994140625
8,10,0,0.005980491638183594,1,0.0029952526092529297
9,1,0,0.0069997310638427734,1,0.004143238067626953
9,2,0,0.0,1,0.0
9,3,0,0.021521568298339844,1,0.0
9,4,0,0.0,1,0.011650562286376953
9,5,0,0.0,1,0.0
9,6,0,0.022156953811645508,1,0.002001047134399414
9,7,0,0.0,1,0.01012563705444336
9,8,0,0.0,1,0.0
9,9,0,0.016074657440185547,1,0.0
9,10,0,0.0,1,0.0
10,1,0,0.022133350372314453,1,0.0030045509338378906
10,2,0,0.006064414978027344,1,0.005290985107421875
10,3,0,0.0,1,0.012847185134887695
10,4,0,0.0,1,0.0
10,5,0,0.016356468200683594,1,0.0
10,6,0,0.0,1,0.01677227020263672
10,7,0,0.0,1,0.0
10,8,0,0.016278743743896484,1,0.0
10,9,0,0.0,1,0.017841100692749023
10,10,0,0.0,1,0.0
