l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.049736738204956055,1,0.016787052154541016
1,2,0,0.0500032901763916,1,0.0
1,3,0,0.06492066383361816,1,0.01860785484313965
1,4,0,0.0541682243347168,1,0.04626607894897461
1,5,0,0.06611037254333496,1,0.07047080993652344
1,6,0,0.04602527618408203,1,0.0903477668762207
1,7,0,0.042685508728027344,1,0.10165190696716309
1,8,0,0.04783058166503906,1,0.11887645721435547
1,9,0,0.054680824279785156,1,0.10895180702209473
1,10,0,0.04989027976989746,1,0.1273517608642578
2,1,0,0.047952890396118164,1,0.010982036590576172
2,2,0,0.045583486557006836,1,0.0
2,3,0,0.06263518333435059,1,0.0033473968505859375
2,4,0,0.09795641899108887,1,0.002043485641479492
2,5,0,0.05015087127685547,1,0.016521930694580078
2,6,0,0.059944868087768555,1,0.014183759689331055
2,7,0,0.06212782859802246,1,0.08113956451416016
2,8,0,0.04865860939025879,1,0.21752381324768066
2,9,0,0.09482645988464355,1,0.2550649642944336
2,10,0,0.06074810028076172,1,0.2875537872314453
3,1,0,0.04999947547912598,1,0.008992671966552734
3,2,0,0.04279661178588867,1,0.014928102493286133
3,3,0,0.03323841094970703,1,0.020605087280273438
3,4,0,0.04974174499511719,1,0.008013010025024414
3,5,0,0.05075716972351074,1,0.006944179534912109
3,6,0,0.05443143844604492,1,0.009996891021728516
3,7,0,0.0516819953918457,1,0.007997512817382812
3,8,0,0.03791069984436035,1,0.016532421112060547
3,9,0,0.058318376541137695,1,0.011566638946533203
3,10,0,0.047066450119018555,1,0.06880640983581543
4,1,0,0.03096151351928711,1,0.0199432373046875
4,2,0,0.046675682067871094,1,0.0
4,3,0,0.050263166427612305,1,0.0
4,4,0,0.05726051330566406,1,0.009263038635253906
4,5,0,0.0333409309387207,1,0.02001667022705078
4,6,0,0.05119967460632324,1,0.004999399185180664
4,7,0,0.040557861328125,1,0.019908428192138672
4,8,0,0.048807621002197266,1,0.01462697982788086
4,9,0,0.049901723861694336,1,0.0
4,10,0,0.05002999305725098,1,0.01783466339111328
5,1,0,0.03580331802368164,1,0.012928009033203125
5,2,0,0.050018310546875,1,0.0
5,3,0,0.05010676383972168,1,0.015818357467651367
5,4,0,0.03326916694641113,1,0.016534805297851562
5,5,0,0.04935812950134277,1,0.0007200241088867188
5,6,0,0.06694316864013672,1,0.0
5,7,0,0.0665280818939209,1,0.01676177978515625
5,8,0,0.04986166954040527,1,0.02318596839904785
5,9,0,0.0433657169342041,1,0.0
5,10,0,0.050475358963012695,1,0.0162508487701416
6,1,0,0.05037689208984375,1,0.01639580726623535
6,2,0,0.0337371826171875,1,0.021655797958374023
6,3,0,0.04211759567260742,1,0.0017139911651611328
6,4,0,0.059426307678222656,1,0.011003494262695312
6,5,0,0.07094931602478027,1,0.008486509323120117
6,6,0,0.04981112480163574,1,0.01657557487487793
6,7,0,0.050225257873535156,1,0.0
6,8,0,0.06676769256591797,1,0.0039594173431396484
6,9,0,0.04639148712158203,1,0.016283512115478516
6,10,0,0.04903411865234375,1,0.004345417022705078
7,1,0,0.04879879951477051,1,0.01446223258972168
7,2,0,0.03675079345703125,1,0.013268232345581055
7,3,0,0.0796971321105957,1,0.016900300979614258
7,4,0,0.07045650482177734,1,0.012567996978759766
7,5,0,0.058817386627197266,1,0.009000301361083984
7,6,0,0.05458855628967285,1,0.021573305130004883
7,7,0,0.06716108322143555,1,0.011599063873291016
7,8,0,0.08833050727844238,1,0.018091201782226562
7,9,0,0.15047478675842285,1,0.020427465438842773
7,10,0,0.07306814193725586,1,0.024704456329345703
8,1,0,0.054728031158447266,1,0.020762920379638672
8,2,0,0.04507184028625488,1,0.016663074493408203
8,3,0,0.061424970626831055,1,0.012806892395019531
8,4,0,0.050661325454711914,1,0.015009641647338867
8,5,0,0.056461334228515625,1,0.0038497447967529297
8,6,0,0.07076764106750488,1,0.012487649917602539
8,7,0,0.06518888473510742,1,0.021564483642578125
8,8,0,0.08298206329345703,1,0.01668238639831543
8,9,0,0.07561826705932617,1,0.014560461044311523
8,10,0,0.07547783851623535,1,0.01000523567199707
9,1,0,0.05849289894104004,1,0.009972810745239258
9,2,0,0.08648180961608887,1,0.017342329025268555
9,3,0,0.0655515193939209,1,0.020984172821044922
9,4,0,0.054857492446899414,1,0.011128664016723633
9,5,0,0.05085921287536621,1,0.012308359146118164
9,6,0,0.05263519287109375,1,0.008995771408081055
9,7,0,0.0538630485534668,1,0.0
9,8,0,0.04988694190979004,1,0.01702260971069336
9,9,0,0.05834078788757324,1,0.011012077331542969
9,10,0,0.04931068420410156,1,0.001415252685546875
10,1,0,0.05417299270629883,1,0.010633468627929688
10,2,0,0.04417014122009277,1,0.011557340621948242
10,3,0,0.047180891036987305,1,0.008987188339233398
10,4,0,0.04912519454956055,1,0.01145029067993164
10,5,0,0.04136490821838379,1,0.016799211502075195
10,6,0,0.05019092559814453,1,0.011240720748901367
10,7,0,0.04023623466491699,1,0.01518106460571289
10,8,0,0.0614163875579834,1,0.010472774505615234
10,9,0,0.05414700508117676,1,0.007303953170776367
10,10,0,0.05237627029418945,1,0.008007287979125977
