l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0060045719146728516,1,0.0050013065338134766
1,2,0,0.0,1,0.0
1,3,0,0.02117323875427246,1,0.014339923858642578
1,4,0,0.005997419357299805,1,0.009454965591430664
1,5,0,0.01528477668762207,1,0.020288705825805664
1,6,0,0.015166044235229492,1,0.02977156639099121
1,7,0,0.006976604461669922,1,0.029274940490722656
1,8,0,0.005997896194458008,1,0.026491403579711914
1,9,0,0.0,1,0.02960491180419922
1,10,0,0.016997098922729492,1,0.03534269332885742
2,1,0,0.0067844390869140625,1,0.0049970149993896484
2,2,0,0.009994745254516602,1,0.0060002803802490234
2,3,0,0.0031282901763916016,1,0.0
2,4,0,0.017297983169555664,1,0.00665736198425293
2,5,0,0.010747432708740234,1,0.011678457260131836
2,6,0,0.003784656524658203,1,0.04563760757446289
2,7,0,0.007870197296142578,1,0.08857131004333496
2,8,0,0.008513689041137695,1,0.16513848304748535
2,9,0,0.01651740074157715,1,0.18332743644714355
2,10,0,0.0,1,0.21657586097717285
3,1,0,0.0,1,0.0
3,2,0,0.016976594924926758,1,0.0
3,3,0,0.015573263168334961,1,0.0009264945983886719
3,4,0,0.0,1,0.02060723304748535
3,5,0,0.0,1,0.012384653091430664
3,6,0,0.0,1,0.015010595321655273
3,7,0,0.008704662322998047,1,0.005522012710571289
3,8,0,0.008379459381103516,1,0.012611865997314453
3,9,0,0.0,1,0.10012054443359375
3,10,0,0.0,1,0.25502824783325195
4,1,0,0.010671854019165039,1,0.0010075569152832031
4,2,0,0.0,1,0.01946401596069336
4,3,0,0.006134510040283203,1,0.00500035285949707
4,4,0,0.01100468635559082,1,0.00500035285949707
4,5,0,0.0087738037109375,1,0.004999876022338867
4,6,0,0.009042501449584961,1,0.004992961883544922
4,7,0,0.006000041961669922,1,0.007005214691162109
4,8,0,0.006994724273681641,1,0.0073702335357666016
4,9,0,0.006075143814086914,1,0.004976987838745117
4,10,0,0.004761219024658203,1,0.0
5,1,0,0.019179105758666992,1,0.004998445510864258
5,2,0,0.004000663757324219,1,0.0043735504150390625
5,3,0,0.0,1,0.018872737884521484
5,4,0,0.0,1,0.0
5,5,0,0.021387338638305664,1,0.005023002624511719
5,6,0,0.009995460510253906,1,0.00453495979309082
5,7,0,0.008510351181030273,1,0.0049762725830078125
5,8,0,0.0060007572174072266,1,0.0026743412017822266
5,9,0,0.0,1,0.016884565353393555
5,10,0,0.0,1,0.0
6,1,0,0.016626834869384766,1,0.0
6,2,0,0.016588687896728516,1,0.0
6,3,0,0.0,1,0.020888090133666992
6,4,0,0.0,1,0.013180971145629883
6,5,0,0.0,1,0.0
6,6,0,0.02086353302001953,1,0.0059986114501953125
6,7,0,0.005805253982543945,1,0.0
6,8,0,0.0,1,0.0165865421295166
6,9,0,0.0,1,0.01674652099609375
6,10,0,0.0062220096588134766,1,0.004992485046386719
7,1,0,0.010010719299316406,1,0.006003856658935547
7,2,0,0.008996248245239258,1,0.005004167556762695
7,3,0,0.007996082305908203,1,0.005005598068237305
7,4,0,0.004997968673706055,1,0.0069942474365234375
7,5,0,0.00399470329284668,1,0.008209705352783203
7,6,0,0.0,1,0.0
7,7,0,0.020885229110717773,1,0.0
7,8,0,0.01230168342590332,1,0.0
7,9,0,0.0,1,0.021073341369628906
7,10,0,0.0,1,0.013889312744140625
8,1,0,0.005963563919067383,1,0.0050008296966552734
8,2,0,0.007706880569458008,1,0.005000114440917969
8,3,0,0.007055759429931641,1,0.0
8,4,0,0.0,1,0.01890277862548828
8,5,0,0.0070040225982666016,1,0.0050008296966552734
8,6,0,0.009221792221069336,1,0.0050048828125
8,7,0,0.008646011352539062,1,0.005003929138183594
8,8,0,0.008997201919555664,1,0.004998922348022461
8,9,0,0.005999088287353516,1,0.006424665451049805
8,10,0,0.0070002079010009766,1,0.004010915756225586
9,1,0,0.008022069931030273,1,0.004584550857543945
9,2,0,0.00786733627319336,1,0.005004405975341797
9,3,0,0.005000591278076172,1,0.009014606475830078
9,4,0,0.005007505416870117,1,0.008093833923339844
9,5,0,0.006395101547241211,1,0.005079507827758789
9,6,0,0.0054090023040771484,1,0.0
9,7,0,0.014075279235839844,1,0.0
9,8,0,0.01549386978149414,1,0.00610661506652832
9,9,0,0.005999326705932617,1,0.007054567337036133
9,10,0,0.0,1,0.0
10,1,0,0.01902937889099121,1,0.0049991607666015625
10,2,0,0.007275104522705078,1,0.005603790283203125
10,3,0,0.006005525588989258,1,0.0070035457611083984
10,4,0,0.006995677947998047,1,0.00500035285949707
10,5,0,0.008757591247558594,1,0.005004405975341797
10,6,0,0.008224964141845703,1,0.005010843276977539
10,7,0,0.006000518798828125,1,0.006531238555908203
10,8,0,0.007007122039794922,1,0.006116151809692383
10,9,0,0.0060024261474609375,1,0.005063533782958984
10,10,0,0.008048295974731445,1,0.005023479461669922
