l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.01656651496887207,1,0.0
1,3,1,0.0,1,0.017261266708374023
1,4,1,0.0059812068939208984,1,0.010129690170288086
1,5,1,0.0,1,0.01555943489074707
1,6,1,0.0013155937194824219,1,0.01500844955444336
1,7,1,0.0005309581756591797,1,0.016655683517456055
1,8,1,0.0,1,0.016766071319580078
1,9,1,0.0,1,0.02549457550048828
1,10,1,0.0020003318786621094,1,0.013216257095336914
2,1,1,0.0008306503295898438,1,0.01647210121154785
2,2,1,0.0,1,0.0
2,3,1,0.016586780548095703,1,0.0
2,4,1,0.01680755615234375,1,0.0
2,5,1,0.014518499374389648,1,0.014850139617919922
2,6,1,0.005301713943481445,1,0.015191078186035156
2,7,1,0.0,1,0.0166471004486084
2,8,1,0.0,1,0.03344130516052246
2,9,1,0.0,1,0.03669238090515137
2,10,1,0.003993511199951172,1,0.025997400283813477
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.016631364822387695
3,3,1,0.0,1,0.0
3,4,1,0.015633344650268555,1,0.0010616779327392578
3,5,1,0.0,1,0.0
3,6,1,0.01631641387939453,1,0.00500178337097168
3,7,1,0.0030002593994140625,1,0.0069997310638427734
3,8,1,0.0019276142120361328,1,0.0
3,9,1,0.0,1,0.01908254623413086
3,10,1,0.0029997825622558594,1,0.011283397674560547
4,1,1,0.0,1,0.016830921173095703
4,2,1,0.0,1,0.0
4,3,1,0.01593327522277832,1,0.0004673004150390625
4,4,1,0.0,1,0.0
4,5,1,0.016115427017211914,1,0.004260540008544922
4,6,1,0.003000020980834961,1,0.005003213882446289
4,7,1,0.0029997825622558594,1,0.002019643783569336
4,8,1,0.0,1,0.0075092315673828125
4,9,1,0.0055162906646728516,1,0.003854036331176758
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.01888275146484375
5,2,1,0.004000186920166016,1,0.0009639263153076172
5,3,1,0.00938868522644043,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.01649928092956543,1,0.0
5,6,1,0.0,1,0.0
5,7,1,0.018393516540527344,1,0.00400090217590332
5,8,1,0.0030057430267333984,1,0.0039997100830078125
5,9,1,0.0029382705688476562,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.01658773422241211,1,0.0
6,2,1,0.0,1,0.0
6,3,1,0.0184478759765625,1,0.005678892135620117
6,4,1,0.0,1,0.009461641311645508
6,5,1,0.0,1,0.0
6,6,1,0.0,1,0.016596078872680664
6,7,1,0.0,1,0.0
6,8,1,0.0,1,0.017434358596801758
6,9,1,0.0029942989349365234,1,0.004009246826171875
6,10,1,0.001990079879760742,1,0.004992485046386719
7,1,1,0.0005822181701660156,1,0.0
7,2,1,0.0,1,0.016570329666137695
7,3,1,0.0,1,0.0
7,4,1,0.0,1,0.017379045486450195
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.02042412757873535
7,7,1,0.002958536148071289,1,0.0
7,8,1,0.00918269157409668,1,0.0
7,9,1,0.0,1,0.01848626136779785
7,10,1,0.001999378204345703,1,0.0050008296966552734
8,1,1,0.0029993057250976562,1,0.004956722259521484
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.016658544540405273
8,4,1,0.0,1,0.0
8,5,1,0.0,1,0.01703929901123047
8,6,1,0.0,1,0.0
8,7,1,0.0,1,0.01669788360595703
8,8,1,0.0029973983764648438,1,0.001588582992553711
8,9,1,0.0,1,0.011589765548706055
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.016481637954711914
9,2,1,0.004034280776977539,1,0.004000663757324219
9,3,1,0.003999233245849609,1,0.004330158233642578
9,4,1,0.0006368160247802734,1,0.0
9,5,1,0.0,1,0.015988588333129883
9,6,1,0.0004367828369140625,1,0.0
9,7,1,0.0,1,0.0
9,8,1,0.016889333724975586,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.01551055908203125,1,0.0012712478637695312
10,1,1,0.0,1,0.0
10,2,1,0.015924692153930664,1,0.0053806304931640625
10,3,1,0.0,1,0.0
10,4,1,0.014734268188476562,1,0.007000446319580078
10,5,1,0.006916046142578125,1,0.0
10,6,1,0.0,1,0.0
10,7,1,0.016947507858276367,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.01501011848449707,1,0.0015785694122314453
10,10,1,0.0,1,0.0
