l,k,JR,JR Duration,EJR,EJR Duration
1,1,0,0.0,1,0.0
1,2,0,0.015558481216430664,1,0.0011756420135498047
1,3,0,0.0,1,0.0
1,4,0,0.0,1,0.016895055770874023
1,5,0,0.0,1,0.0
1,6,0,0.0,1,0.018664121627807617
1,7,0,0.0019378662109375,1,0.008000612258911133
1,8,0,0.0,1,0.002447366714477539
1,9,0,0.0,1,0.019089460372924805
1,10,0,0.0008037090301513672,1,0.0
2,1,0,0.0,1,0.013286590576171875
2,2,0,0.0,1,0.0
2,3,0,0.0,1,0.0
2,4,0,0.0,1,0.01659369468688965
2,5,0,0.0,1,0.00756072998046875
2,6,0,0.0,1,0.0
2,7,0,0.0,1,0.01201319694519043
2,8,0,0.0,1,0.0
2,9,0,0.0,1,0.01374959945678711
2,10,0,0.0,1,0.010022163391113281
3,1,0,0.0,1,0.006694793701171875
3,2,0,0.0,1,0.0
3,3,0,0.0,1,0.0
3,4,0,0.0,1,0.016805648803710938
3,5,0,0.0,1,0.0
3,6,0,0.0,1,0.0
3,7,0,0.0,1,0.01812434196472168
3,8,0,0.0025091171264648438,1,0.0
3,9,0,0.0,1,0.0
3,10,0,0.0,1,0.012683391571044922
4,1,0,0.0,1,0.0
4,2,0,0.0,1,0.0
4,3,0,0.01663064956665039,1,0.0
4,4,0,0.0,1,0.0
4,5,0,0.0,1,0.016544103622436523
4,6,0,0.0,1,0.0
4,7,0,0.0,1,0.0
4,8,0,0.0,1,0.017278194427490234
4,9,0,0.0,1,0.0
4,10,0,0.0,1,0.0
5,1,0,0.0,1,0.015408754348754883
5,2,0,0.0,1,0.0
5,3,0,0.0,1,0.0
5,4,0,0.017853260040283203,1,0.003935098648071289
5,5,0,0.0,1,0.0
5,6,0,0.0,1,0.01378631591796875
5,7,0,0.003005504608154297,1,0.004012584686279297
5,8,0,0.0010042190551757812,1,0.00397038459777832
5,9,0,0.0018639564514160156,1,0.0003108978271484375
5,10,0,0.0,1,0.0
6,1,0,0.0,1,0.015674591064453125
6,2,0,0.003443479537963867,1,0.004006385803222656
6,3,0,0.0020072460174560547,1,0.003986835479736328
6,4,0,0.0020058155059814453,1,0.003997087478637695
6,5,0,0.002001047134399414,1,0.003009796142578125
6,6,0,0.0009932518005371094,1,0.00405120849609375
6,7,0,0.0,1,0.005120754241943359
6,8,0,0.0,1,0.0
6,9,0,0.0,1,0.0
6,10,0,0.0,1,0.01574563980102539
7,1,0,0.0031282901763916016,1,0.0
7,2,0,0.0,1,0.0
7,3,0,0.0,1,0.014063596725463867
7,4,0,0.0,1,0.0
7,5,0,0.0,1,0.0
7,6,0,0.015509605407714844,1,0.0013599395751953125
7,7,0,0.0,1,0.0
7,8,0,0.0,1,0.0
7,9,0,0.015006780624389648,1,0.0018835067749023438
7,10,0,0.0,1,0.0
8,1,0,0.0,1,0.0
8,2,0,0.0,1,0.016384124755859375
8,3,0,0.0,1,0.0
8,4,0,0.0,1,0.0
8,5,0,0.0,1,0.016493797302246094
8,6,0,0.0,1,0.0
8,7,0,0.0,1,0.0
8,8,0,0.0,1,0.016119956970214844
8,9,0,0.0020072460174560547,1,0.001134634017944336
8,10,0,0.0,1,0.0
9,1,0,0.0,1,0.014155149459838867
9,2,0,0.0,1,0.0
9,3,0,0.0,1,0.0
9,4,0,0.0,1,0.016607046127319336
9,5,0,0.0,1,0.0
9,6,0,0.0,1,0.0
9,7,0,0.0,1,0.016800403594970703
9,8,0,0.0,1,0.0
9,9,0,0.0,1,0.0
9,10,0,0.0,1,0.018676042556762695
10,1,0,0.0019996166229248047,1,0.004000186920166016
10,2,0,0.0019996166229248047,1,0.0041065216064453125
10,3,0,0.003082752227783203,1,0.0039730072021484375
10,4,0,0.0020003318786621094,1,0.0029997825622558594
10,5,0,0.0009999275207519531,1,0.002228260040283203
10,6,0,0.004253387451171875,1,0.004021883010864258
10,7,0,0.0019884109497070312,1,0.003618955612182617
10,8,0,0.0,1,0.0060842037200927734
10,9,0,0.0030341148376464844,1,0.0012238025665283203
10,10,0,0.0,1,0.0
