l,k,JR,JR Duration,EJR,EJR Duration
1,1,1,0.0,1,0.0
1,2,1,0.0,1,0.016745328903198242
1,3,1,0.0,1,0.0
1,4,1,0.0,1,0.0
1,5,1,0.0,1,0.01665186882019043
1,6,1,0.0,1,0.0
1,7,1,0.0,1,0.0165708065032959
1,8,1,0.0,1,0.0
1,9,1,0.0,1,0.0
1,10,1,0.0,1,0.022073745727539062
2,1,1,0.0,1,0.0
2,2,1,0.0,1,0.0
2,3,1,0.0,1,0.011370182037353516
2,4,1,0.0,1,0.0
2,5,1,0.0,1,0.0
2,6,1,0.0,1,0.01651787757873535
2,7,1,0.0,1,0.0
2,8,1,0.0,1,0.016639232635498047
2,9,1,0.0,1,0.016701221466064453
2,10,1,0.0,1,0.016734600067138672
3,1,1,0.0,1,0.0
3,2,1,0.0,1,0.0
3,3,1,0.0,1,0.0
3,4,1,0.0,1,0.016074657440185547
3,5,1,0.001049041748046875,1,0.00399017333984375
3,6,1,0.001004934310913086,1,0.0021059513092041016
3,7,1,0.0,1,0.0
3,8,1,0.0,1,0.009190559387207031
3,9,1,0.0,1,0.0
3,10,1,0.0,1,0.01671886444091797
4,1,1,0.0,1,0.0
4,2,1,0.0,1,0.0
4,3,1,0.0,1,0.016575336456298828
4,4,1,0.0,1,0.0
4,5,1,0.0,1,0.0
4,6,1,0.0,1,0.0
4,7,1,0.0,1,0.0
4,8,1,0.016041040420532227,1,0.0005350112915039062
4,9,1,0.0,1,0.0
4,10,1,0.0,1,0.0
5,1,1,0.0,1,0.0
5,2,1,0.0,1,0.016751766204833984
5,3,1,0.0,1,0.0
5,4,1,0.0,1,0.0
5,5,1,0.0,1,0.0
5,6,1,0.0,1,0.017107009887695312
5,7,1,0.0009992122650146484,1,0.003000974655151367
5,8,1,0.0009999275207519531,1,0.00018334388732910156
5,9,1,0.0,1,0.0
5,10,1,0.0,1,0.0
6,1,1,0.01097559928894043,1,0.004384517669677734
6,2,1,0.0013127326965332031,1,0.0
6,3,1,0.0,1,0.0
6,4,1,0.0,1,0.0
6,5,1,0.0104522705078125,1,0.0030066967010498047
6,6,1,0.0010013580322265625,1,0.0042324066162109375
6,7,1,0.0009996891021728516,1,0.002000570297241211
6,8,1,0.00099945068359375,1,0.0019998550415039062
6,9,1,0.0010001659393310547,1,0.002088308334350586
6,10,1,0.0,1,0.0
7,1,1,0.0,1,0.0
7,2,1,0.0,1,0.0
7,3,1,0.0,1,0.015627384185791016
7,4,1,0.0009095668792724609,1,0.0
7,5,1,0.0,1,0.0
7,6,1,0.0,1,0.0
7,7,1,0.0,1,0.0
7,8,1,0.0,1,0.01665496826171875
7,9,1,0.0,1,0.0
7,10,1,0.0,1,0.0
8,1,1,0.0,1,0.0
8,2,1,0.0,1,0.0
8,3,1,0.0,1,0.016736268997192383
8,4,1,0.0010004043579101562,1,0.0019998550415039062
8,5,1,0.001999378204345703,1,0.0029976367950439453
8,6,1,0.0010058879852294922,1,0.0019969940185546875
8,7,1,0.0009999275207519531,1,0.0020003318786621094
8,8,1,0.001146554946899414,1,0.0030035972595214844
8,9,1,0.0,1,0.002671480178833008
8,10,1,0.0,1,0.0
9,1,1,0.0,1,0.0
9,2,1,0.011435985565185547,1,0.0
9,3,1,0.0,1,0.0
9,4,1,0.0,1,0.0
9,5,1,0.0,1,0.0
9,6,1,0.0,1,0.016730308532714844
9,7,1,0.0,1,0.0
9,8,1,0.0,1,0.0
9,9,1,0.0,1,0.0
9,10,1,0.0,1,0.0
10,1,1,0.0,1,0.01554250717163086
10,2,1,0.0005338191986083984,1,0.0
10,3,1,0.0,1,0.0
10,4,1,0.0,1,0.0
10,5,1,0.0,1,0.0
10,6,1,0.015528678894042969,1,0.0009686946868896484
10,7,1,0.0,1,0.0
10,8,1,0.0,1,0.0
10,9,1,0.0,1,0.0
10,10,1,0.0,1,0.0
